application_id,customer_id,app_date,amount_requested,loan_purpose,loan_term_months,approved
116,1932,2020-02-04,2100,Wedding,12,1
117,4766,2017-12-12,13200,Home improvement,36,0
118,436,2019-07-24,15900,Education,48,1
119,1661,2017-12-15,42900,Moving,48,1
120,462,2021-04-11,13500,Medical,48,1
121,2523,2022-08-12,7500,Education,24,1
122,4882,2020-06-12,6900,Car Purchase,36,0
123,4530,2018-02-12,24300,Medical,48,1
124,4221,2020-02-24,48400,Debt consolidation,60,0
125,2625,2023-05-10,18300,Home improvement,48,1
126,4029,2020-11-26,17600,Home improvement,24,1
127,3787,2020-01-06,10300,Vacation,48,1
128,1963,2017-12-03,5300,Education,48,1
129,2932,2023-02-13,24700,Home improvement,48,1
130,4268,2021-08-02,63900,Education,60,1
131,1369,2020-04-15,25500,Home improvement,48,1
132,2189,2023-01-30,5700,Debt consolidation,24,1
133,2425,2021-09-17,1100,Business,24,1
134,2276,2019-05-30,2200,Debt consolidation,24,1
135,1447,2022-10-27,7300,Moving,24,1
136,3488,2020-01-06,6400,Home improvement,24,1
137,1091,2020-05-05,10900,Debt consolidation,48,1
138,854,2021-02-01,9800,Moving,24,1
139,2143,2022-05-09,7000,Debt consolidation,48,1
140,4213,2021-03-02,18600,Home improvement,24,0
141,1664,2020-06-01,15000,Debt consolidation,24,1
142,763,2020-12-21,69500,Debt consolidation,60,1
143,2502,2021-05-30,11400,Debt consolidation,48,1
144,4662,2023-07-04,24200,Medical,36,0
145,2901,2021-09-04,359400,Wedding,60,0
146,3587,2020-04-12,1900,Debt consolidation,24,1
147,1671,2020-11-14,265000,Debt consolidation,60,1
148,1002,2018-10-26,6500,Wedding,24,1
149,794,2021-10-31,37700,Moving,48,1
150,2023,2021-04-14,21800,Vacation,24,1
151,545,2018-09-19,4300,Debt consolidation,12,1
152,884,2018-05-02,74100,Car Purchase,60,1
153,3462,2022-01-07,5600,Debt consolidation,48,1
154,2018,2021-03-23,47800,Home improvement,60,0
155,4957,2018-06-19,1900,Wedding,24,1
156,3799,2022-11-10,24400,Wedding,36,0
157,3810,2018-07-05,5000,Education,24,1
158,2225,2020-10-20,6700,Car Purchase,48,1
159,2098,2019-03-18,10000,Car Purchase,36,0
160,1498,2018-04-15,15800,Debt consolidation,36,1
161,1036,2023-05-11,10400,Home improvement,36,1
162,4416,2019-01-01,9500,Moving,48,1
163,136,2023-06-18,20600,Home improvement,36,0
164,1573,2019-12-03,19600,Debt consolidation,24,1
165,2562,2020-09-27,6600,Debt consolidation,24,1
166,4301,2021-09-09,5600,Business,24,1
167,1872,2022-01-13,356800,Business,60,0
168,672,2022-03-21,79500,Business,60,1
169,4526,2020-08-04,7700,Moving,36,1
170,685,2021-05-03,254500,Business,60,1
171,1163,2018-08-12,14800,Education,24,1
172,99,2021-06-02,8100,Debt consolidation,24,1
173,1451,2020-04-15,27900,Car Purchase,60,0
174,167,2020-08-13,32400,Debt consolidation,60,1
175,855,2019-01-09,94400,Debt consolidation,48,0
176,3417,2022-04-09,5100,Business,24,1
177,2047,2022-12-28,16300,Moving,24,0
178,919,2020-01-10,7400,Home improvement,24,1
179,3116,2019-01-25,44100,Wedding,60,1
180,3889,2018-05-26,37900,Moving,48,1
181,2591,2018-08-06,25800,Home improvement,60,1
182,766,2019-10-02,5700,Education,36,1
183,1101,2021-12-14,22600,Debt consolidation,24,0
184,2492,2019-08-12,6700,Business,24,1
185,3932,2019-10-18,28300,Education,60,0
186,2797,2019-11-03,5100,Debt consolidation,48,1
187,4812,2023-07-17,425100,Home improvement,60,0
188,158,2022-09-13,9200,Debt consolidation,48,1
189,2136,2022-11-21,5300,Debt consolidation,48,1
190,2461,2023-07-29,29600,Business,60,0
191,1461,2018-08-20,8100,Moving,24,1
192,1351,2021-07-21,7300,Home improvement,48,1
193,1731,2023-04-05,36100,Debt consolidation,48,1
194,2672,2019-10-16,306900,Education,72,0
195,3241,2023-05-20,35300,Wedding,60,1
196,3626,2019-05-26,13300,Medical,24,1
197,4940,2019-12-28,4700,Home improvement,12,1
198,2212,2020-05-26,20100,Debt consolidation,36,0
199,1851,2023-04-20,6000,Business,24,1
200,1283,2022-11-13,24800,Car Purchase,48,1
201,4731,2022-09-24,6600,Car Purchase,36,1
202,1105,2020-04-06,48400,Medical,48,1
203,1752,2023-11-05,9700,Home improvement,24,1
204,738,2021-06-01,11600,Vacation,36,1
205,793,2021-07-16,15200,Car Purchase,48,1
206,1849,2021-01-05,60700,Education,60,0
207,1824,2018-11-17,20900,Debt consolidation,24,0
208,3778,2023-09-25,10800,Home improvement,36,1
209,2122,2018-07-04,16900,Car Purchase,36,1
210,1744,2023-06-12,133100,Debt consolidation,60,1
211,598,2021-12-16,9900,Vacation,36,1
212,4387,2023-05-03,2700,Debt consolidation,24,1
213,2457,2018-08-24,39900,Business,48,1
214,244,2019-10-25,2600,Business,12,1
215,332,2019-02-18,80300,Debt consolidation,48,1
216,1111,2023-07-18,33600,Car Purchase,60,1
217,1983,2018-02-01,30800,Vacation,48,1
218,3374,2022-12-06,53000,Debt consolidation,60,0
219,319,2017-12-19,36100,Home improvement,60,0
220,3669,2021-07-27,17800,Home improvement,36,1
221,4954,2022-03-26,1500,Home improvement,24,1
222,1542,2023-03-08,7900,Debt consolidation,24,0
223,3786,2023-04-21,6300,Debt consolidation,48,1
224,918,2018-05-31,39700,Debt consolidation,48,1
225,1995,2020-09-11,4900,Debt consolidation,12,0
226,924,2018-09-24,4200,Wedding,24,1
227,1753,2022-08-29,166700,Home improvement,72,1
228,1879,2021-02-16,18000,Home improvement,48,1
229,115,2021-06-24,33800,Debt consolidation,60,1
230,3461,2022-07-08,10500,Home improvement,48,1
231,2895,2022-12-15,96600,Education,60,0
232,1094,2018-05-28,44300,Wedding,60,1
233,883,2021-12-23,5200,Vacation,24,1
234,3237,2023-03-24,12300,Home improvement,24,0
235,1507,2021-09-04,17800,Debt consolidation,24,1
236,2568,2022-03-17,9200,Business,36,1
237,2142,2022-09-16,30100,Moving,48,1
238,2829,2021-05-28,485500,Home improvement,60,0
239,322,2022-05-20,6500,Home improvement,36,1
240,180,2019-02-07,21600,Education,24,1
241,1527,2020-10-11,7800,Education,24,1
242,4147,2018-05-12,17500,Moving,48,1
243,1338,2019-05-26,5400,Debt consolidation,24,1
244,689,2022-03-13,2000,Business,24,1
245,1652,2020-08-03,5700,Debt consolidation,36,1
246,202,2021-07-13,22100,Home improvement,24,1
247,4185,2020-01-08,22100,Home improvement,24,1
248,3954,2018-03-18,33300,Debt consolidation,60,1
249,1908,2022-01-13,20100,Debt consolidation,48,1
250,2361,2021-12-09,53300,Wedding,48,0
251,4874,2022-11-23,18900,Education,36,1
252,206,2021-01-17,23700,Vacation,48,1
253,4132,2022-08-13,3100,Business,24,1
254,187,2023-04-17,40500,Moving,48,1
255,4951,2020-01-15,28000,Debt consolidation,60,0
256,1267,2023-07-02,48700,Debt consolidation,48,1
257,879,2020-07-25,14500,Debt consolidation,24,1
258,1831,2021-12-14,23200,Wedding,48,0
259,910,2020-03-22,13100,Medical,36,1
260,4164,2022-05-24,12600,Medical,24,1
261,1966,2020-03-07,47000,Home improvement,60,1
262,1639,2021-04-29,2300,Debt consolidation,24,1
263,4248,2022-03-24,5600,Debt consolidation,24,1
264,1686,2021-09-12,32800,Car Purchase,60,0
265,564,2022-07-03,24300,Debt consolidation,24,1
266,2569,2019-02-14,19400,Car Purchase,24,0
267,2709,2022-09-18,35200,Wedding,60,1
268,290,2023-10-07,10200,Business,36,1
269,2909,2019-05-19,6200,Car Purchase,48,1
270,3379,2020-11-06,9700,Car Purchase,48,1
271,1939,2022-01-24,2300,Business,12,1
272,2235,2022-10-24,44300,Home improvement,60,1
273,4873,2018-11-10,38900,Debt consolidation,48,1
274,3473,2019-12-27,14700,Home improvement,48,1
275,4157,2020-02-28,100800,Home improvement,60,0
276,4772,2019-09-12,23400,Business,36,1
277,4643,2020-04-28,19800,Moving,36,1
278,1835,2018-07-20,24900,Home improvement,24,0
279,3687,2022-12-21,7800,Business,24,1
280,1647,2022-07-02,7600,Wedding,24,1
281,3877,2021-05-15,26000,Business,60,1
282,2543,2021-05-20,19100,Medical,24,1
283,118,2021-01-03,14300,Medical,24,1
284,2690,2022-01-07,14800,Home improvement,24,1
285,851,2020-01-15,5600,Business,36,1
286,2545,2022-10-21,20000,Business,36,1
287,1873,2023-11-30,49000,Vacation,48,1
288,2230,2022-01-21,4900,Car Purchase,12,1
289,4125,2019-09-24,16500,Business,24,1
290,1004,2021-03-12,8800,Moving,36,0
291,882,2020-12-27,56600,Business,48,1
292,972,2022-06-03,5900,Education,48,1
293,1946,2020-09-13,14000,Vacation,36,1
294,3340,2023-05-03,87000,Home improvement,60,1
295,2835,2022-07-19,4900,Debt consolidation,12,1
296,4699,2023-11-18,36900,Debt consolidation,60,1
297,2766,2019-10-05,10300,Car Purchase,36,1
298,4337,2022-05-31,87500,Wedding,48,0
299,2224,2021-09-30,5500,Debt consolidation,24,1
300,2091,2019-09-30,16100,Medical,48,1
301,2447,2021-04-03,12100,Debt consolidation,36,1
302,835,2023-03-23,7500,Vacation,48,1
303,2666,2020-05-22,8800,Wedding,36,1
304,2604,2023-05-08,20400,Medical,24,1
305,4046,2023-02-22,21300,Education,24,0
306,3700,2018-08-29,24600,Home improvement,48,0
307,4574,2023-09-04,24300,Debt consolidation,24,1
308,2031,2022-02-12,62400,Home improvement,48,0
309,414,2020-11-29,8100,Home improvement,36,1
310,2715,2022-07-18,30600,Wedding,60,1
311,2200,2019-02-15,1600,Home improvement,12,1
312,1349,2020-04-12,4000,Debt consolidation,12,1
313,1627,2023-02-06,40100,Education,60,1
314,767,2019-07-27,5100,Home improvement,24,1
315,4066,2021-08-29,1900,Education,24,1
316,1140,2022-06-07,1200,Medical,12,1
317,4447,2021-06-25,10100,Home improvement,24,1
318,2257,2022-11-03,344900,Vacation,72,0
319,3690,2021-03-24,13600,Home improvement,24,1
320,2810,2018-10-06,16800,Debt consolidation,36,1
321,4437,2018-01-05,12600,Debt consolidation,24,1
322,3852,2021-11-25,49100,Vacation,48,0
323,3214,2021-12-16,43400,Debt consolidation,48,1
324,4079,2022-05-31,74000,Moving,48,1
325,3760,2019-08-20,12300,Vacation,24,1
326,1310,2023-10-25,36500,Car Purchase,48,0
327,2721,2021-04-24,1000,Medical,12,1
328,1175,2020-01-07,15700,Debt consolidation,24,1
329,4852,2020-03-15,7900,Education,36,1
330,363,2020-03-24,3100,Debt consolidation,24,1
331,1931,2017-12-29,24300,Debt consolidation,24,1
332,1763,2020-05-21,28300,Wedding,48,1
333,2928,2023-02-11,84800,Vacation,48,0
334,212,2020-07-19,31300,Medical,60,1
335,2455,2020-04-04,23500,Debt consolidation,24,0
336,3662,2023-05-26,41500,Debt consolidation,60,0
337,1626,2021-12-29,3500,Wedding,24,1
338,4956,2022-11-07,9400,Education,36,1
339,404,2019-01-14,20300,Education,24,0
340,3041,2021-02-18,51300,Home improvement,48,1
341,2789,2023-11-15,19400,Home improvement,24,1
342,2097,2020-05-13,7000,Education,36,1
343,123,2023-01-21,7200,Business,48,1
344,127,2019-04-09,89000,Business,48,0
345,997,2022-11-03,8800,Home improvement,24,1
346,2567,2021-02-14,13700,Debt consolidation,48,1
347,3803,2019-12-26,5500,Home improvement,36,1
348,4009,2023-04-30,12400,Debt consolidation,24,1
349,131,2019-08-22,9500,Wedding,24,0
350,437,2019-01-29,20200,Debt consolidation,36,1
351,2501,2020-04-22,32100,Debt consolidation,60,1
352,3667,2021-02-15,36000,Medical,60,0
353,4979,2023-04-25,23800,Home improvement,48,1
354,4061,2017-12-09,43500,Debt consolidation,60,0
355,1058,2019-06-20,45500,Home improvement,48,0
356,2704,2022-09-18,45100,Vacation,48,1
357,4762,2018-04-26,22000,Debt consolidation,24,0
358,4655,2020-11-18,3200,Moving,12,1
359,330,2022-07-25,4200,Debt consolidation,24,1
360,1476,2022-01-10,6900,Debt consolidation,48,1
361,3482,2021-12-12,41600,Home improvement,48,1
362,2889,2019-07-05,92300,Home improvement,60,0
363,2986,2021-02-18,4900,Home improvement,12,1
364,3197,2023-03-30,40700,Car Purchase,48,0
365,1815,2021-03-24,45700,Medical,48,1
366,675,2019-05-05,30200,Education,60,1
367,2841,2023-05-12,11000,Debt consolidation,24,1
368,554,2020-03-22,19800,Moving,24,1
369,2106,2019-01-01,14800,Debt consolidation,24,1
370,621,2021-12-15,53300,Vacation,48,0
371,4972,2023-01-09,21600,Business,36,1
372,390,2022-05-03,43400,Education,60,1
373,640,2021-05-18,218900,Business,72,0
374,3618,2022-06-09,39300,Business,60,1
375,536,2022-02-24,3800,Moving,24,1
376,3874,2018-12-06,26800,Home improvement,60,1
377,112,2018-02-25,23100,Car Purchase,24,1
378,1009,2018-05-19,37000,Debt consolidation,60,1
379,2990,2019-12-24,49700,Vacation,60,0
380,1562,2023-06-06,3300,Debt consolidation,12,1
381,906,2021-09-11,4200,Debt consolidation,12,0
382,1814,2023-06-03,2800,Wedding,12,1
383,4456,2022-09-19,36300,Business,48,0
384,3995,2018-09-05,13600,Home improvement,24,1
385,69,2019-03-26,43900,Home improvement,48,0
386,2129,2022-11-22,57300,Debt consolidation,60,1
387,4698,2020-05-27,4700,Education,12,1
388,3981,2018-09-28,17900,Debt consolidation,48,1
389,4,2022-10-05,1500,Car Purchase,24,1
390,2738,2018-08-04,6300,Wedding,36,0
391,4309,2023-03-14,16800,Debt consolidation,36,1
392,2665,2021-07-06,38600,Car Purchase,60,1
393,345,2019-04-30,9900,Home improvement,48,0
394,3599,2023-05-23,1000,Education,24,1
395,4576,2020-07-26,88000,Debt consolidation,48,1
396,4749,2020-02-01,22500,Car Purchase,48,1
397,3432,2022-04-08,18000,Debt consolidation,36,1
398,157,2020-12-17,10700,Debt consolidation,36,1
399,4775,2023-08-15,52900,Debt consolidation,60,1
400,1240,2020-07-02,18200,Debt consolidation,48,1
401,4842,2020-11-15,4700,Debt consolidation,12,0
402,22,2020-10-03,9900,Debt consolidation,48,1
403,1031,2021-08-04,7000,Debt consolidation,24,0
404,639,2021-01-15,54200,Debt consolidation,60,1
405,3252,2021-07-04,20300,Debt consolidation,24,0
406,2955,2018-06-09,22400,Debt consolidation,36,0
407,176,2023-09-06,8400,Education,24,1
408,3269,2020-09-05,48200,Debt consolidation,60,1
409,894,2020-03-18,96100,Debt consolidation,60,0
410,4936,2022-08-27,3200,Home improvement,24,1
411,4019,2018-01-09,92200,Debt consolidation,48,0
412,4380,2021-10-19,21200,Debt consolidation,36,0
413,2559,2023-02-23,80700,Car Purchase,48,0
414,3897,2018-12-04,24400,Home improvement,36,1
415,3621,2019-02-05,20500,Medical,36,1
416,2113,2018-06-01,1500,Car Purchase,24,1
417,1836,2019-02-10,12400,Home improvement,24,1
418,1203,2023-08-29,5600,Debt consolidation,36,1
419,3103,2020-12-02,11900,Business,48,1
420,3980,2018-07-07,6600,Debt consolidation,48,1
421,3901,2022-01-16,8400,Moving,48,1
422,3141,2022-01-18,8400,Home improvement,24,1
423,383,2018-06-27,62500,Home improvement,48,1
424,193,2021-04-19,7300,Vacation,48,1
425,1642,2018-09-04,6500,Debt consolidation,24,1
426,2807,2021-07-20,17300,Home improvement,24,1
427,1712,2019-03-03,1600,Vacation,24,0
428,2001,2023-06-18,1000,Debt consolidation,12,1
429,755,2021-04-01,13200,Wedding,48,1
430,4349,2022-12-06,43700,Home improvement,48,0
431,310,2022-01-28,8200,Debt consolidation,48,1
432,2601,2023-08-30,38400,Wedding,48,1
433,4553,2023-10-01,22700,Debt consolidation,48,1
434,2935,2018-11-10,9100,Education,36,1
435,3948,2022-09-21,41600,Debt consolidation,48,1
436,1068,2023-07-22,17800,Debt consolidation,36,1
437,3965,2020-05-09,3100,Debt consolidation,24,1
438,3093,2020-07-15,14100,Home improvement,24,0
439,4409,2019-05-15,6500,Home improvement,24,0
440,4737,2023-08-30,466800,Business,72,0
441,3572,2018-12-19,4600,Vacation,12,1
442,2253,2020-08-26,23200,Debt consolidation,24,1
443,3956,2020-02-10,30300,Debt consolidation,60,1
444,2262,2021-07-08,1900,Education,12,1
445,4292,2019-07-04,26300,Debt consolidation,60,1
446,4784,2021-02-11,9600,Debt consolidation,36,1
447,3758,2021-02-15,3800,Medical,12,1
448,1385,2019-10-02,45700,Education,48,1
449,2190,2018-02-24,23100,Debt consolidation,48,1
450,4635,2019-09-03,4100,Debt consolidation,24,1
451,126,2020-10-09,5900,Business,24,1
452,3909,2021-02-04,33700,Home improvement,60,0
453,2628,2022-06-08,5400,Debt consolidation,24,1
454,2232,2021-04-24,63700,Car Purchase,48,1
455,292,2020-03-17,8100,Debt consolidation,36,1
456,2620,2020-05-25,67000,Medical,60,1
457,2783,2018-04-02,6200,Car Purchase,24,1
458,4522,2019-09-15,17800,Home improvement,48,0
459,3968,2023-04-06,7100,Education,48,1
460,3555,2019-07-19,23900,Moving,36,0
461,888,2023-01-19,21600,Home improvement,36,1
462,1316,2023-08-23,6200,Medical,48,1
463,1577,2018-04-19,19300,Car Purchase,48,1
464,2012,2023-10-14,7100,Wedding,36,1
465,299,2019-05-18,13600,Home improvement,24,1
466,3091,2021-05-30,19000,Debt consolidation,36,0
467,1773,2022-09-20,11100,Moving,24,1
468,1548,2020-07-27,18800,Home improvement,24,1
469,2423,2020-12-27,6800,Wedding,24,0
470,2302,2019-06-05,17100,Education,24,0
471,3541,2021-06-07,23900,Medical,24,0
472,4889,2018-06-22,65000,Vacation,48,0
473,4705,2019-10-24,49400,Debt consolidation,48,0
474,933,2018-03-13,76900,Debt consolidation,60,1
475,644,2021-07-16,6100,Home improvement,36,1
476,422,2018-02-01,11800,Education,24,1
477,3119,2022-01-13,21900,Debt consolidation,48,1
478,1863,2020-06-04,1800,Debt consolidation,12,1
479,1420,2023-02-02,17700,Education,24,1
480,2413,2021-10-27,21500,Moving,24,1
481,2963,2018-10-29,43600,Home improvement,60,0
482,2210,2020-11-27,464200,Debt consolidation,72,0
483,4935,2018-10-31,29600,Medical,60,1
484,4742,2019-08-07,4300,Debt consolidation,12,1
485,3620,2018-05-23,37900,Car Purchase,60,1
486,4383,2023-02-10,7900,Moving,36,0
487,4420,2022-08-15,8700,Wedding,24,1
488,1383,2022-11-22,331800,Home improvement,72,0
489,3349,2021-04-08,88700,Debt consolidation,48,1
490,3207,2020-02-25,24400,Moving,24,0
491,2192,2020-04-04,18600,Debt consolidation,36,1
492,3564,2023-08-11,4600,Education,24,1
493,519,2017-12-04,9100,Debt consolidation,24,0
494,3697,2023-09-07,3200,Debt consolidation,12,1
495,4472,2020-12-18,19500,Debt consolidation,48,1
496,3414,2019-08-09,15400,Medical,48,1
497,4415,2022-03-28,8800,Home improvement,36,1
498,4423,2019-08-10,5300,Education,36,1
499,3759,2019-12-05,17200,Moving,36,1
500,148,2022-06-23,7000,Car Purchase,36,1
501,4503,2021-05-15,7500,Debt consolidation,36,1
502,1541,2020-07-07,19900,Medical,24,1
503,703,2020-04-17,17200,Debt consolidation,48,1
504,1305,2018-04-20,8500,Vacation,24,1
505,3082,2018-11-22,5800,Home improvement,36,1
506,4113,2022-08-05,3600,Home improvement,24,0
507,4704,2020-01-08,11800,Home improvement,48,1
508,478,2022-07-14,35500,Car Purchase,60,0
509,19,2022-01-31,14500,Wedding,48,1
510,1388,2019-05-03,72300,Moving,48,1
511,2183,2023-03-20,48800,Home improvement,48,0
512,838,2019-04-20,28000,Debt consolidation,60,1
513,868,2021-11-15,16600,Car Purchase,36,1
514,1689,2018-10-20,50700,Education,60,0
515,682,2023-10-30,19400,Debt consolidation,48,0
516,4668,2023-05-27,31700,Car Purchase,48,1
517,3702,2018-09-18,16300,Debt consolidation,36,1
518,1858,2018-11-12,1200,Car Purchase,24,0
519,2309,2023-07-23,31000,Vacation,60,1
520,533,2023-07-26,5200,Medical,24,1
521,2244,2019-05-24,1200,Medical,12,0
522,1625,2019-01-31,9800,Business,36,1
523,1443,2018-07-13,83500,Wedding,60,0
524,4620,2023-05-16,12800,Debt consolidation,24,1
525,4434,2023-11-14,24200,Moving,48,1
526,2577,2020-08-24,5200,Education,36,1
527,955,2018-08-13,45100,Debt consolidation,60,1
528,1868,2018-01-10,485000,Car Purchase,60,0
529,4021,2021-06-28,1900,Education,24,1
530,1033,2020-09-06,35500,Home improvement,48,1
531,2052,2019-10-03,24900,Wedding,36,1
532,4279,2021-07-01,8300,Home improvement,24,1
533,4036,2022-08-07,5900,Debt consolidation,48,1
534,1654,2020-02-15,9900,Car Purchase,36,0
535,1256,2023-03-06,3000,Wedding,12,1
536,2670,2020-03-27,37800,Debt consolidation,60,1
537,1992,2023-09-09,8700,Debt consolidation,36,1
538,1173,2021-10-29,77600,Home improvement,60,1
539,3412,2020-05-28,29800,Debt consolidation,48,1
540,3991,2022-10-08,31000,Debt consolidation,60,0
541,4497,2021-03-26,15800,Moving,48,1
542,3095,2023-01-03,31900,Debt consolidation,48,1
543,4595,2021-07-11,36100,Moving,60,1
544,2506,2019-03-10,10700,Education,36,1
545,828,2022-06-15,5500,Home improvement,48,1
546,1086,2023-03-02,23500,Home improvement,24,0
547,3553,2017-12-23,59000,Home improvement,60,1
548,4618,2018-04-21,15900,Debt consolidation,24,0
549,1081,2021-06-24,4200,Home improvement,12,1
550,1300,2021-04-22,48300,Vacation,48,0
551,2524,2023-07-28,7800,Medical,48,1
552,3275,2023-09-17,18300,Home improvement,36,1
553,485,2023-03-17,10600,Wedding,36,1
554,3302,2020-07-25,50300,Medical,48,1
555,1417,2020-09-18,8500,Wedding,36,1
556,3337,2023-05-19,26300,Home improvement,48,1
557,4671,2023-07-01,20600,Moving,36,1
558,4510,2020-08-12,30500,Education,48,1
559,4949,2020-04-10,5100,Education,24,1
560,4410,2020-03-15,1300,Education,24,1
561,1611,2021-08-30,3800,Home improvement,12,1
562,3820,2022-05-29,32800,Vacation,60,0
563,1392,2021-10-14,9200,Debt consolidation,36,1
564,1915,2020-01-08,9800,Debt consolidation,48,1
565,128,2022-02-28,4800,Home improvement,12,1
566,49,2020-05-04,16900,Car Purchase,24,1
