account_id,customer_id,account_type,account_status,open_date,current_balance,credit_limit
95,95,Checking,Active,2015-03-22,692047.85,
96,96,Savings,Active,2016-05-24,1084970.49,
97,97,Savings,Active,2016-06-03,405452.32,
98,98,Credit Card,Active,2019-04-25,-1173.36,6000.0
99,99,Checking,Active,2021-03-17,65953.87,
100,100,Checking,Active,2016-12-20,445026.0,
101,101,Checking,Active,2014-09-13,425357.09,
102,102,Checking,Active,2025-08-20,34134.7,
103,103,Savings,Active,2015-01-03,941341.82,
104,104,Savings,Active,2017-01-17,374553.84,
105,105,Credit Card,Active,2022-09-20,0.0,8000.0
106,106,Checking,Active,2014-07-22,1342408.92,
107,107,Checking,Active,2017-03-17,330309.89,
108,108,Savings,Active,2020-02-03,472024.16,
109,109,Checking,Active,2024-12-12,33210.36,
110,110,Checking,Active,2023-05-05,236898.89,
111,111,Savings,Active,2012-06-14,1259831.78,
112,112,Checking,Active,2017-09-12,260683.77,
113,113,Savings,Active,2019-03-14,590178.48,
114,114,Savings,Active,2019-10-22,510239.54,
115,115,Savings,Active,2024-10-21,98788.69,
116,116,Savings,Active,2011-09-10,1296030.0,
117,117,Checking,Active,2011-07-31,893750.41,
118,118,Checking,Active,2013-06-04,940809.53,
119,119,Savings,Active,2014-08-17,2464468.24,
120,120,Checking,Active,2018-10-15,435068.16,
121,121,Savings,Active,2016-09-10,593087.07,
122,122,Savings,Active,2022-02-11,262077.63,
123,123,Savings,Active,2016-06-16,1171529.25,
124,124,Savings,Active,2014-08-22,654771.45,
125,125,Checking,Active,2013-02-07,333962.81,
126,126,Checking,Inactive,2013-11-21,666865.43,
127,127,Credit Card,Active,2011-05-11,0.0,5000.0
128,128,Checking,Active,2010-03-22,1626338.03,
129,129,Credit Card,Active,2010-01-04,-965.89,6000.0
130,130,Checking,Active,2010-10-25,158448.99,
131,131,Credit Card,Active,2010-02-05,0.0,4000.0
132,132,Checking,Active,2016-08-13,465748.81,
133,133,Savings,Inactive,2018-12-26,554157.69,
134,134,Savings,Inactive,2011-09-25,3068660.07,
135,135,Checking,Active,2019-06-03,414189.87,
136,136,Checking,Active,2018-10-18,45224.49,
137,137,Checking,Active,2015-12-11,684515.69,
138,138,Savings,Active,2015-02-15,518059.02,
139,139,Checking,Active,2020-10-03,548761.68,
140,140,Checking,Active,2013-10-13,866161.28,
141,141,Checking,Active,2020-11-26,241583.66,
142,142,Checking,Active,2019-02-13,476.84,
143,143,Checking,Active,2014-12-11,332946.93,
144,144,Savings,Active,2023-01-16,319209.4,
145,145,Checking,Inactive,2022-12-15,152635.49,
146,146,Checking,Active,2014-03-18,531932.82,
147,147,Credit Card,Active,2014-12-16,-0.0,5000.0
148,148,Checking,Active,2018-10-02,518312.12,
149,149,Credit Card,Active,2022-04-06,-892.5,2000.0
150,150,Savings,Active,2023-08-02,191079.2,
151,151,Checking,Active,2020-10-12,421476.57,
152,152,Certificate of Deposit,Active,2025-06-03,10167.78,
153,153,Credit Card,Active,2020-11-24,0.0,100000.0
154,154,Credit Card,Active,2019-03-26,-558.89,7500.0
155,155,Savings,Active,2022-12-06,244038.79,
156,156,Savings,Inactive,2021-01-11,410221.86,
157,157,Credit Card,Active,2019-05-29,0.0,6000.0
158,158,Checking,Active,2019-06-28,476804.02,
159,159,Checking,Active,2025-07-14,19232.06,
160,160,Checking,Active,2014-07-21,-436.07,
161,161,Checking,Active,2019-03-11,438209.07,
162,162,Savings,Active,2023-01-24,96.08,
163,163,Savings,Active,2012-04-24,785886.46,
164,164,Savings,Active,2018-09-29,550402.27,
165,165,Savings,Active,2016-07-14,753019.12,
166,166,Checking,Active,2020-01-30,186948.2,
167,167,Checking,Inactive,2010-08-05,1657493.01,
168,168,Checking,Active,2010-04-11,676524.98,
169,169,Checking,Active,2018-08-23,489833.5,
170,170,Certificate of Deposit,Active,2020-09-10,24582.99,
171,171,Credit Card,Active,2015-06-18,-1103.59,12000.0
172,172,Checking,Active,2019-07-08,384367.79,
173,173,Credit Card,Active,2025-01-24,0.0,100000.0
174,174,Savings,Inactive,2014-01-21,1036896.86,
175,175,Savings,Active,2020-09-18,362072.79,
176,176,Savings,Active,2025-05-17,25258.68,
177,177,Credit Card,Active,2025-07-14,0.0,2000.0
178,178,Savings,Active,2025-05-05,26339.93,
179,179,Savings,Active,2014-10-05,1347961.53,
180,180,Checking,Active,2014-12-22,804275.27,
181,181,Certificate of Deposit,Active,2012-11-03,1680.54,
182,182,Savings,Active,2020-08-16,252352.27,
183,183,Checking,Active,2023-05-19,2495256.34,
184,184,Checking,Active,2012-07-03,988707.79,
185,185,Checking,Active,2022-11-15,70557.98,
186,186,Credit Card,Active,2011-09-09,-657.33,20000.0
187,187,Checking,Active,2012-03-25,1332584.37,
188,188,Savings,Active,2017-05-11,571274.65,
189,189,Checking,Active,2021-06-21,444771.4,
190,190,Savings,Active,2016-05-10,195799.86,
191,191,Checking,Inactive,2020-12-04,501277.8,
192,192,Checking,Active,2017-05-22,638223.67,
193,193,Savings,Active,2012-05-22,1090631.84,
194,194,Checking,Active,2016-06-21,507709.7,
195,195,Checking,Active,2011-01-18,-493.91,
196,196,Savings,Active,2010-06-21,1205379.08,
197,197,Savings,Active,2016-12-23,6354553.66,
198,198,Credit Card,Active,2021-12-04,0.0,3000.0
199,199,Checking,Active,2023-02-13,189386.84,
200,200,Checking,Active,2022-06-04,201111.83,
201,201,Credit Card,Active,2011-08-04,0.0,7500.0
202,202,Checking,Active,2013-10-08,485571.61,
203,203,Checking,Active,2017-08-20,450187.92,
204,204,Checking,Active,2019-11-14,322906.84,
205,205,Savings,Active,2022-04-20,276551.1,
206,206,Checking,Active,2016-05-22,621134.95,
207,207,Certificate of Deposit,Active,2022-07-17,57118.86,
208,208,Savings,Inactive,2017-12-23,312259.37,
209,209,Savings,Active,2012-11-24,495141.07,
210,210,Credit Card,Active,2014-06-27,0.0,8000.0
211,211,Savings,Active,2020-11-01,298144.04,
212,212,Checking,Active,2014-07-18,824052.44,
213,213,Savings,Inactive,2017-07-31,379891.84,
214,214,Checking,Active,2023-03-29,-496.74,
215,215,Savings,Active,2010-02-08,2408204.46,
216,216,Credit Card,Active,2021-03-01,0.0,8000.0
217,217,Savings,Active,2016-08-15,581410.56,
218,218,Credit Card,Active,2022-03-16,0.0,7500.0
219,219,Credit Card,Active,2015-06-13,0.0,4000.0
220,220,Checking,Active,2020-05-05,167447.68,
221,221,Checking,Active,2018-01-07,702476.18,
222,222,Savings,Active,2012-03-28,321009.99,
223,223,Credit Card,Active,2021-09-23,0.0,25000.0
224,224,Checking,Active,2015-05-29,4655323.01,
225,225,Checking,Active,2019-05-22,436096.84,
226,226,Credit Card,Active,2010-10-02,0.0,5000.0
227,227,Credit Card,Active,2022-05-21,0.0,6000.0
228,228,Checking,Active,2016-01-18,711857.37,
229,229,Savings,Active,2016-11-11,600321.88,
230,230,Checking,Active,2015-03-20,176530.39,
231,231,Checking,Active,2021-07-06,628.71,
232,232,Credit Card,Active,2010-02-17,0.0,2000.0
233,233,Checking,Active,2017-01-02,874180.5,
234,234,Checking,Active,2023-09-13,192537.03,
235,235,Savings,Active,2016-12-26,370507.7,
236,236,Checking,Active,2011-09-07,1008034.43,
237,237,Credit Card,Active,2020-05-19,-781.57,5000.0
238,238,Checking,Active,2015-12-14,590766.22,
239,239,Savings,Active,2016-05-17,1221737.39,
240,240,Credit Card,Active,2020-09-16,0.0,5000.0
241,241,Savings,Active,2012-11-18,732471.76,
242,242,Savings,Active,2010-09-25,1228536.21,
243,243,Checking,Active,2023-10-27,136524.53,
244,244,Savings,Active,2019-05-23,478974.79,
245,245,Certificate of Deposit,Active,2017-07-10,1394.83,
246,246,Credit Card,Active,2024-12-18,-898.24,4000.0
247,247,Checking,Active,2018-01-01,407802.89,
248,248,Checking,Active,2022-11-05,186490.29,
249,249,Checking,Active,2013-03-27,1572896.78,
250,250,Checking,Active,2014-10-18,752844.73,
251,251,Checking,Active,2024-07-17,9019.53,
252,252,Checking,Active,2018-05-10,387323.18,
253,253,Checking,Active,2012-05-15,1087210.54,
254,254,Credit Card,Active,2018-09-06,0.0,6000.0
255,255,Savings,Active,2019-02-06,423447.38,
256,256,Credit Card,Active,2024-06-03,0.0,2000.0
257,257,Credit Card,Active,2010-10-02,0.0,3000.0
258,258,Checking,Active,2013-03-11,512286.7,
259,259,Credit Card,Active,2022-08-03,0.0,7500.0
260,260,Checking,Active,2013-07-02,766511.84,
261,261,Savings,Active,2020-08-02,618876.89,
262,262,Checking,Active,2017-01-03,491833.13,
263,263,Savings,Active,2014-12-06,1627657.63,
264,264,Checking,Active,2012-01-27,570468.23,
265,265,Checking,Active,2020-07-08,460094.03,
266,266,Checking,Active,2010-11-12,1086664.58,
267,267,Credit Card,Active,2022-05-12,-432.99,75000.0
268,268,Credit Card,Active,2020-08-16,0.0,2000.0
269,269,Savings,Inactive,2011-03-25,369563.47,
270,270,Credit Card,Active,2015-11-02,0.0,2000.0
271,271,Checking,Active,2012-01-19,1179361.25,
272,272,Checking,Active,2011-05-14,535350.25,
273,273,Savings,Active,2013-01-17,226964.94,
274,274,Credit Card,Active,2012-09-26,0.0,2000.0
275,275,Checking,Active,2024-03-18,214276.11,
276,276,Checking,Active,2010-05-15,910516.39,
277,277,Credit Card,Active,2024-12-13,-734.41,7500.0
278,278,Checking,Active,2016-10-02,572368.22,
279,279,Credit Card,Active,2012-08-18,0.0,40000.0
280,280,Savings,Active,2014-07-02,481936.77,
281,281,Savings,Active,2025-04-26,135168.49,
282,282,Credit Card,Active,2016-08-24,0.0,2000.0
283,283,Savings,Active,2023-08-04,99756.48,
284,284,Checking,Active,2020-10-10,317533.64,
285,285,Checking,Inactive,2021-08-28,213722.59,
286,286,Checking,Active,2020-03-06,263959.6,
287,287,Checking,Active,2011-05-27,1886967.17,
288,288,Checking,Active,2015-07-22,436927.91,
289,289,Checking,Active,2022-08-10,269413.79,
290,290,Savings,Active,2018-11-30,527116.88,
291,291,Checking,Active,2021-05-29,272913.62,
292,292,Savings,Active,2019-01-17,585782.02,
293,293,Checking,Active,2011-05-28,-89.11,
294,294,Savings,Active,2015-07-08,785293.37,
295,295,Savings,Active,2011-02-13,1938692.52,
296,296,Certificate of Deposit,Active,2012-07-11,34061.85,
297,297,Checking,Active,2011-09-01,124226.34,
298,298,Credit Card,Active,2023-03-09,-974.58,2000.0
299,299,Savings,Active,2011-06-29,1145424.18,
300,300,Checking,Active,2016-01-07,446529.14,
301,301,Checking,Active,2023-05-30,155645.03,
302,302,Checking,Active,2012-01-21,91800.41,
303,303,Savings,Active,2022-08-31,264533.76,
304,304,Savings,Active,2018-01-08,621190.35,
305,305,Credit Card,Active,2018-03-27,0.0,25000.0
306,306,Checking,Active,2017-09-17,412842.04,
307,307,Checking,Active,2012-08-01,263952.81,
308,308,Savings,Active,2013-09-26,593687.35,
309,309,Savings,Active,2025-01-27,71523.64,
310,310,Checking,Active,2015-05-24,942356.16,
311,311,Checking,Active,2020-12-09,186115.38,
312,312,Savings,Active,2019-03-22,182452.73,
313,313,Checking,Active,2017-09-29,102963.63,
314,314,Checking,Active,2019-04-27,-456.76,
315,315,Savings,Active,2025-06-04,41007.96,
316,316,Credit Card,Inactive,2018-07-30,0.0,2000.0
317,317,Credit Card,Inactive,2014-09-08,0.0,5000.0
318,318,Savings,Active,2011-02-25,1337761.27,
319,319,Credit Card,Active,2012-04-16,0.0,3000.0
320,320,Credit Card,Active,2013-08-11,0.0,2000.0
321,321,Credit Card,Inactive,2024-04-26,0.0,5000.0
322,322,Certificate of Deposit,Active,2017-09-07,69279.31,
323,323,Checking,Active,2012-07-31,885515.22,
324,324,Credit Card,Active,2019-08-28,0.0,4000.0
325,325,Savings,Active,2016-12-22,545683.44,
326,326,Savings,Active,2022-06-20,163245.03,
327,327,Credit Card,Active,2018-04-30,0.0,8000.0
328,328,Checking,Active,2013-07-02,687964.26,
329,329,Credit Card,Active,2010-10-28,0.0,6000.0
330,330,Checking,Active,2021-08-19,3373081.84,
331,331,Checking,Active,2011-01-18,479317.61,
332,332,Checking,Active,2012-01-10,1050571.83,
333,333,Checking,Active,2016-12-23,639854.25,
334,334,Credit Card,Active,2011-09-15,0.0,8000.0
335,335,Savings,Active,2017-01-03,1046041.35,
336,336,Checking,Active,2023-07-10,118452.87,
337,337,Certificate of Deposit,Active,2024-01-16,10759.59,
338,338,Credit Card,Active,2015-05-11,0.0,25000.0
339,339,Savings,Active,2022-01-05,2.76,
340,340,Savings,Active,2017-07-09,397034.39,
341,341,Savings,Inactive,2017-05-12,712406.87,
342,342,Credit Card,Active,2025-04-05,-0.0,5000.0
343,343,Checking,Active,2019-03-07,3361848.66,
344,344,Savings,Active,2015-04-06,9134732.29,
345,345,Checking,Active,2015-04-29,-482.36,
346,346,Savings,Active,2017-05-15,440933.22,
347,347,Checking,Active,2016-05-24,295582.39,
348,348,Credit Card,Active,2011-04-30,0.0,15000.0
349,349,Checking,Active,2019-01-09,53792.29,
350,350,Credit Card,Active,2019-04-27,0.0,4000.0
351,351,Checking,Active,2013-10-27,1300587.69,
352,352,Checking,Active,2015-09-20,515877.18,
353,353,Checking,Active,2025-05-20,28099.56,
354,354,Credit Card,Active,2019-07-02,0.0,2000.0
355,355,Savings,Active,2012-07-27,1825502.78,
356,356,Savings,Active,2019-03-04,494756.36,
357,357,Checking,Active,2023-09-11,37119.96,
358,358,Checking,Inactive,2017-10-05,258102.87,
359,359,Savings,Active,2017-09-17,731400.06,
360,360,Savings,Active,2025-06-14,36281.01,
361,361,Credit Card,Active,2023-11-17,-584.86,25000.0
362,362,Checking,Active,2013-11-20,889242.85,
363,363,Credit Card,Active,2013-04-24,-1249.54,20000.0
364,364,Credit Card,Active,2015-03-05,0.0,2000.0
365,365,Checking,Active,2010-12-08,486236.99,
366,366,Savings,Active,2025-03-16,62949.42,
367,367,Credit Card,Active,2019-01-28,0.0,4000.0
368,368,Credit Card,Active,2012-04-21,0.0,4000.0
369,369,Certificate of Deposit,Active,2024-08-05,10511.84,
370,370,Savings,Active,2013-12-24,5670065.11,
371,371,Checking,Active,2012-10-12,-486.99,
372,372,Checking,Active,2024-08-24,118578.79,
373,373,Certificate of Deposit,Active,2025-11-16,1000.0,
374,374,Credit Card,Active,2013-11-25,0.0,6000.0
375,375,Checking,Active,2015-12-29,44134.56,
376,376,Savings,Active,2021-11-12,556041.29,
377,377,Checking,Active,2016-12-02,-176.21,
378,378,Savings,Active,2017-12-05,500177.8,
379,379,Checking,Active,2024-04-01,121827.7,
380,380,Checking,Active,2020-03-23,-491.24,
381,381,Certificate of Deposit,Active,2014-09-18,7809.63,
382,382,Checking,Active,2010-12-31,10339612.5,
383,383,Savings,Active,2017-06-19,390219.29,
384,384,Checking,Active,2014-08-24,313980.65,
385,385,Checking,Active,2011-12-04,586472.69,
386,386,Checking,Active,2010-02-14,825714.81,
387,387,Checking,Active,2017-02-10,1419953.24,
388,388,Checking,Active,2014-03-25,636709.35,
389,389,Certificate of Deposit,Active,2012-04-30,34403.61,
390,390,Checking,Active,2023-06-11,201737.99,
391,391,Savings,Active,2023-11-10,180826.78,
392,392,Credit Card,Active,2020-07-02,0.0,10000.0
393,393,Credit Card,Active,2013-12-27,0.0,10000.0
394,394,Credit Card,Active,2017-11-24,0.0,3000.0
395,395,Certificate of Deposit,Active,2013-11-13,8073.89,
396,396,Checking,Active,2016-02-09,9704159.28,
397,397,Checking,Active,2022-04-03,426369.63,
398,398,Checking,Active,2010-10-18,821836.26,
399,399,Checking,Active,2022-08-26,15780665.88,
400,400,Checking,Active,2019-08-13,446852.29,
401,401,Credit Card,Active,2013-05-21,-640.26,3000.0
402,402,Certificate of Deposit,Active,2016-04-10,14662.38,
403,403,Checking,Active,2022-04-10,287568.1,
404,404,Credit Card,Active,2018-05-27,0.0,6000.0
405,405,Savings,Active,2014-10-02,988850.46,
406,406,Credit Card,Active,2013-08-31,-491.65,2000.0
407,407,Checking,Active,2019-06-19,600985.1,
408,408,Savings,Active,2025-08-09,35772.79,
409,409,Checking,Inactive,2021-05-03,331763.68,
410,410,Checking,Active,2021-12-01,126660.09,
411,411,Checking,Active,2010-04-09,546790.88,
412,412,Certificate of Deposit,Active,2019-11-04,12707.48,
413,413,Savings,Active,2019-08-24,1255572.94,
414,414,Savings,Inactive,2019-11-18,288321.94,
415,415,Checking,Active,2019-02-04,311499.09,
416,416,Savings,Active,2021-03-05,1031529.23,
417,417,Savings,Active,2011-07-09,1344319.82,
418,418,Credit Card,Active,2021-03-07,0.0,8000.0
419,419,Credit Card,Active,2015-01-26,0.0,10000.0
420,420,Checking,Active,2015-08-04,1255650.66,
421,421,Savings,Active,2012-06-30,1264053.72,
422,422,Credit Card,Active,2020-05-03,-1073.56,20000.0
423,423,Savings,Active,2019-07-28,559908.42,
424,424,Savings,Active,2022-08-01,297704.27,
425,425,Savings,Inactive,2024-08-23,72793.29,
426,426,Credit Card,Active,2017-07-04,-595.47,2000.0
427,427,Credit Card,Active,2018-11-06,0.0,2000.0
428,428,Credit Card,Active,2013-09-29,0.0,2000.0
429,429,Checking,Active,2016-07-30,-488.91,
430,430,Savings,Active,2024-02-27,200517.39,
431,431,Credit Card,Active,2023-04-13,0.0,20000.0
432,432,Checking,Active,2010-10-16,1202258.05,
433,433,Checking,Active,2024-02-10,76152.26,
434,434,Certificate of Deposit,Active,2022-04-16,1153.84,
435,435,Credit Card,Active,2025-10-06,0.0,2000.0
436,436,Certificate of Deposit,Active,2012-04-12,34403.61,
437,437,Checking,Active,2010-03-01,1272366.23,
438,438,Credit Card,Active,2013-08-30,0.0,7500.0
439,439,Savings,Active,2013-04-05,3467735.96,
440,440,Savings,Active,2012-07-22,2015670.48,
441,441,Credit Card,Active,2016-11-29,0.0,75000.0
442,442,Savings,Active,2020-01-09,332096.69,
443,443,Savings,Inactive,2010-09-22,1288457.29,
444,444,Checking,Active,2022-01-20,214436.18,
445,445,Checking,Active,2011-12-28,982003.13,
446,446,Credit Card,Active,2013-05-20,-645.8,10000.0
447,447,Credit Card,Active,2013-08-15,0.0,8000.0
448,448,Savings,Active,2014-11-13,608295.35,
449,449,Checking,Active,2015-08-25,687533.66,
450,450,Savings,Active,2014-12-31,651442.8,
451,451,Checking,Active,2015-05-31,751068.86,
452,452,Savings,Active,2011-01-11,106.38,
453,453,Credit Card,Inactive,2010-11-11,0.0,12000.0
454,454,Savings,Active,2023-08-30,155262.73,
455,455,Savings,Active,2024-12-13,29234.77,
456,456,Credit Card,Active,2012-12-31,0.0,2000.0
457,457,Checking,Active,2020-11-23,214454.93,
458,458,Checking,Active,2014-10-02,1158391.94,
459,459,Checking,Active,2022-03-31,403336.43,
460,460,Savings,Active,2017-03-20,1066582.77,
461,461,Credit Card,Inactive,2023-10-27,0.0,3000.0
462,462,Checking,Active,2014-03-07,787461.91,
463,463,Checking,Active,2010-10-29,781132.11,
464,464,Savings,Active,2010-03-25,456059.49,
465,465,Checking,Active,2025-04-15,50473.18,
466,466,Credit Card,Active,2021-09-28,0.0,2000.0
467,467,Checking,Active,2024-10-06,121115.68,
468,468,Savings,Active,2025-05-03,22532.29,
469,469,Checking,Active,2018-01-29,828656.01,
470,470,Certificate of Deposit,Active,2020-08-09,1233.25,
471,471,Certificate of Deposit,Active,2017-09-12,27711.72,
472,472,Credit Card,Active,2024-10-05,-451.7,10000.0
473,473,Credit Card,Active,2011-06-24,0.0,3000.0
474,474,Certificate of Deposit,Active,2010-03-25,1869.4,
475,475,Checking,Active,2014-03-30,431345.75,
476,476,Checking,Active,2017-10-14,1019666.76,
477,477,Credit Card,Active,2019-08-06,0.0,2000.0
478,478,Savings,Active,2012-08-13,259144.67,
479,479,Checking,Active,2019-08-12,2653347.24,
480,480,Credit Card,Active,2020-07-23,0.0,3000.0
481,481,Savings,Active,2016-11-12,2.67,
482,482,Savings,Active,2022-02-25,203090.65,
483,483,Credit Card,Active,2011-06-20,-936.14,2000.0
484,484,Certificate of Deposit,Active,2019-05-18,12963.76,
485,485,Checking,Active,2021-01-12,277487.46,
486,486,Credit Card,Active,2020-03-02,0.0,25000.0
487,487,Credit Card,Active,2020-11-06,0.0,10000.0
488,488,Credit Card,Active,2014-08-28,-540.94,10000.0
489,489,Checking,Active,2023-10-07,130069.64,
490,490,Checking,Inactive,2011-11-09,3285034.5,
491,491,Certificate of Deposit,Active,2021-11-12,11732.02,
492,492,Certificate of Deposit,Active,2011-04-10,89513.24,
493,493,Savings,Active,2012-03-31,658841.12,
494,494,Savings,Active,2020-07-09,445385.33,
495,495,Credit Card,Active,2011-01-10,0.0,4000.0
496,496,Credit Card,Active,2014-11-03,0.0,2000.0
497,497,Checking,Active,2013-11-10,813858.93,
498,498,Savings,Active,2021-06-28,333988.65,
499,499,Savings,Active,2019-06-01,335474.81,
500,500,Savings,Active,2023-02-05,101668.58,
501,501,Savings,Active,2016-10-13,750986.74,
502,502,Savings,Active,2014-12-26,962361.88,
503,503,Credit Card,Active,2011-01-22,0.0,8000.0
504,504,Savings,Active,2021-03-02,58612.65,
505,505,Savings,Active,2018-03-27,663953.0,
506,506,Credit Card,Active,2015-01-14,0.0,2000.0
507,507,Savings,Active,2017-11-06,497266.48,
508,508,Checking,Inactive,2016-10-03,863374.24,
509,509,Savings,Active,2020-02-18,390883.5,
510,510,Certificate of Deposit,Active,2021-12-05,58465.05,
511,511,Savings,Active,2018-06-12,805109.32,
512,512,Checking,Active,2017-10-06,480533.44,
513,513,Credit Card,Inactive,2024-05-27,0.0,5000.0
514,514,Savings,Active,2011-12-03,1569615.37,
515,515,Credit Card,Active,2017-04-15,0.0,4000.0
516,516,Checking,Active,2023-11-23,121898.43,
517,517,Checking,Active,2013-06-30,501693.14,
518,518,Savings,Active,2024-05-03,133477.7,
519,519,Checking,Active,2025-11-06,2297.79,
520,520,Checking,Active,2023-09-30,119035.22,
521,521,Certificate of Deposit,Active,2011-02-02,9011.05,
522,522,Savings,Active,2016-05-26,1003950.21,
523,523,Credit Card,Active,2013-03-04,-557.74,4000.0
524,524,Savings,Active,2022-10-03,115699.33,
525,525,Credit Card,Active,2010-11-11,0.0,100000.0
526,526,Certificate of Deposit,Active,2021-10-17,11771.13,
527,527,Checking,Active,2025-05-24,43681.75,
528,528,Checking,Active,2020-02-13,337203.54,
529,529,Credit Card,Active,2019-02-27,0.0,2000.0
530,530,Checking,Active,2019-08-03,135703.98,
531,531,Checking,Active,2010-12-08,174711.15,
532,532,Checking,Active,2018-05-14,533778.61,
533,533,Checking,Active,2024-03-27,86944.01,
534,534,Credit Card,Active,2013-11-26,0.0,2000.0
535,535,Savings,Active,2013-12-07,615880.54,
536,536,Savings,Active,2019-09-06,3908848.52,
537,537,Savings,Active,2012-01-28,921363.6,
538,538,Savings,Active,2012-11-21,1580078.78,
539,539,Credit Card,Active,2017-11-12,-699.29,10000.0
540,540,Checking,Active,2023-02-28,340708.83,
