payment_id,loan_id,payment_date,amount_due,amount_paid,interest_paid,payment_status
52,3,2019-06-24,506.79,506.79,183.37,On-Time
53,3,2019-07-24,506.79,506.79,179.72,On-Time
54,3,2019-08-24,506.79,506.79,176.02,On-Time
55,3,2019-09-24,506.79,506.79,172.29,On-Time
56,3,2019-10-24,506.79,506.79,168.51,On-Time
57,3,2019-11-24,506.79,506.79,164.69,On-Time
58,3,2019-12-24,506.79,506.79,160.83,On-Time
59,3,2020-01-24,506.79,506.79,156.92,On-Time
60,3,2020-02-24,506.79,506.79,152.97,On-Time
61,3,2020-03-24,506.79,506.79,148.98,On-Time
62,3,2020-04-24,506.79,506.79,144.94,On-Time
63,3,2020-05-24,506.79,506.79,140.85,On-Time
64,3,2020-06-24,506.79,506.79,136.72,On-Time
65,3,2020-07-24,506.79,506.79,132.54,On-Time
66,3,2020-08-24,506.79,506.79,128.31,On-Time
67,3,2020-09-24,506.79,506.79,124.04,On-Time
68,3,2020-10-24,506.79,506.79,119.72,On-Time
69,3,2020-11-24,506.79,506.79,115.35,On-Time
70,3,2020-12-24,506.79,506.79,110.93,On-Time
71,3,2021-01-24,506.79,506.79,106.46,On-Time
72,3,2021-02-24,506.79,506.79,101.94,On-Time
73,3,2021-03-24,506.79,506.79,97.36,On-Time
74,3,2021-04-24,506.79,506.79,92.74,On-Time
75,3,2021-05-24,506.79,506.79,88.07,On-Time
76,3,2021-06-24,506.79,506.79,83.34,On-Time
77,3,2021-07-24,506.79,506.79,78.56,On-Time
78,3,2021-08-24,506.79,506.79,73.72,On-Time
79,3,2021-09-24,506.79,506.79,68.83,On-Time
80,3,2021-10-24,506.79,506.79,63.89,On-Time
81,3,2021-11-24,506.79,506.79,58.88,On-Time
82,3,2021-12-24,506.79,506.79,53.83,On-Time
83,3,2022-01-24,506.79,506.79,48.71,On-Time
84,3,2022-02-24,506.79,506.79,43.54,On-Time
85,3,2022-03-24,506.79,506.79,38.31,On-Time
86,3,2022-04-24,506.79,506.79,33.02,On-Time
87,3,2022-05-24,506.79,506.79,27.67,On-Time
88,3,2022-06-24,506.79,506.79,22.26,On-Time
89,3,2022-07-24,506.79,506.79,16.79,On-Time
90,3,2022-08-24,506.79,506.79,11.25,On-Time
91,3,2022-09-24,506.79,506.79,5.66,On-Time
92,3,2022-10-24,506.79,506.79,0.0,On-Time
93,4,2019-07-07,8283.2,8283.2,4426.92,On-Time
94,4,2019-08-07,8283.2,8283.2,4385.76,On-Time
95,4,2019-09-07,8283.2,8283.2,4344.15,On-Time
96,4,2019-10-07,8283.2,8283.2,4302.1,On-Time
97,4,2019-11-07,8283.2,8283.2,4259.6,On-Time
98,4,2019-12-07,8283.2,8283.2,4216.65,On-Time
99,4,2020-01-07,8283.2,8283.2,4173.24,On-Time
100,4,2020-02-07,8283.2,8283.2,4129.37,On-Time
101,4,2020-03-07,8283.2,8283.2,4085.03,On-Time
102,4,2020-04-07,8283.2,8283.2,4040.21,On-Time
103,4,2020-05-07,8283.2,8283.2,3994.92,On-Time
104,4,2020-06-07,8283.2,8283.2,3949.14,On-Time
105,4,2020-07-07,8283.2,8283.2,3902.87,On-Time
106,4,2020-08-07,8283.2,8283.2,3856.11,On-Time
107,4,2020-09-07,8283.2,8283.2,3808.85,On-Time
108,4,2020-10-07,8283.2,8283.2,3761.09,On-Time
109,4,2020-11-07,8283.2,8283.2,3712.82,On-Time
110,4,2020-12-07,8283.2,8283.2,3664.03,On-Time
111,4,2021-01-07,8283.2,8283.2,3614.72,Late
112,4,2021-02-07,8283.2,8283.2,3564.88,On-Time
113,4,2021-03-07,8283.2,8283.2,3514.51,On-Time
114,4,2021-04-07,8283.2,8283.2,3463.61,On-Time
115,4,2021-05-07,8283.2,8283.2,3412.16,On-Time
116,4,2021-06-07,8283.2,8283.2,3360.16,On-Time
117,4,2021-07-07,8283.2,8283.2,3307.61,On-Time
118,4,2021-08-07,8283.2,8283.2,3254.49,On-Time
119,4,2021-09-07,8283.2,8283.2,3200.81,On-Time
120,4,2021-10-07,8283.2,8283.2,3146.56,On-Time
121,4,2021-11-07,8283.2,8283.2,3091.72,On-Time
122,4,2021-12-07,8283.2,8283.2,3036.3,On-Time
123,4,2022-01-07,8283.2,8283.2,2980.29,On-Time
124,4,2022-02-07,8283.2,8283.2,2923.68,On-Time
125,4,2022-03-07,8283.2,8283.2,2866.47,On-Time
126,4,2022-04-07,8283.2,8283.2,2808.65,On-Time
127,4,2022-05-07,8283.2,8283.2,2750.21,On-Time
128,4,2022-06-07,8283.2,8283.2,2691.14,On-Time
129,4,2022-07-07,8283.2,8283.2,2631.45,On-Time
130,4,2022-08-07,8283.2,8283.2,2571.11,On-Time
131,4,2022-09-07,8283.2,8283.2,2510.14,On-Time
132,4,2022-10-07,8283.2,8283.2,2448.51,On-Time
133,4,2022-11-07,8283.2,8283.2,2386.22,On-Time
134,4,2022-12-07,8283.2,8283.2,2323.27,On-Time
135,4,2023-01-07,8283.2,8283.2,2259.65,On-Time
136,4,2023-02-07,8283.2,8283.2,2195.35,On-Time
137,4,2023-03-07,8283.2,8283.2,2130.36,On-Time
138,4,2023-04-07,8283.2,8283.2,2064.68,On-Time
139,4,2023-05-07,8283.2,8283.2,1998.3,On-Time
140,4,2023-06-07,8283.2,8283.2,1931.21,On-Time
141,4,2023-07-07,8283.2,8283.2,1863.4,On-Time
142,4,2023-08-07,8283.2,8283.2,1794.87,On-Time
143,4,2023-09-07,8283.2,8283.2,1725.6,On-Time
144,4,2023-10-07,8283.2,8283.2,1655.6,On-Time
145,4,2023-11-07,8283.2,8283.2,1584.85,On-Time
146,4,2023-12-07,8283.2,8283.2,1513.35,On-Time
147,4,2024-01-07,8283.2,8283.2,1441.08,On-Time
148,4,2024-02-07,8283.2,8283.2,1368.04,Late
149,4,2024-03-07,8283.2,8283.2,1294.22,On-Time
150,4,2024-04-07,8283.2,8283.2,1219.61,On-Time
151,4,2024-05-07,8283.2,8283.2,1144.21,On-Time
152,4,2024-06-07,8283.2,8283.2,1068.0,On-Time
153,4,2024-07-07,8283.2,8283.2,990.98,On-Time
154,4,2024-08-07,8283.2,8283.2,913.13,On-Time
155,4,2024-09-07,8283.2,8283.2,834.46,On-Time
156,4,2024-10-07,8283.2,8283.2,754.94,On-Time
157,4,2024-11-07,8283.2,8283.2,674.58,On-Time
158,4,2024-12-07,8283.2,8283.2,593.36,On-Time
159,5,2020-08-29,767.66,767.66,415.08,On-Time
160,5,2020-09-29,767.66,767.66,409.32,On-Time
161,5,2020-10-29,767.66,767.66,403.46,On-Time
162,5,2020-11-29,767.66,767.66,397.51,On-Time
163,5,2020-12-29,767.66,767.66,391.46,On-Time
164,5,2021-01-29,767.66,767.66,385.31,On-Time
165,5,2021-02-28,767.66,767.66,379.06,On-Time
166,5,2021-03-29,767.66,767.66,372.71,On-Time
167,5,2021-04-29,767.66,767.66,366.26,On-Time
168,5,2021-05-29,767.66,767.66,359.7,On-Time
169,5,2021-06-29,767.66,767.66,353.03,On-Time
170,5,2021-07-29,767.66,767.66,346.26,On-Time
171,5,2021-08-29,767.66,767.66,339.37,On-Time
172,5,2021-09-29,767.66,767.66,332.37,On-Time
173,5,2021-10-29,767.66,767.66,325.26,On-Time
174,5,2021-11-29,767.66,767.66,318.03,On-Time
175,5,2021-12-29,767.66,767.66,310.68,On-Time
176,5,2022-01-29,767.66,767.66,303.21,On-Time
177,5,2022-02-28,767.66,767.66,295.62,On-Time
178,5,2022-03-29,767.66,767.66,287.91,On-Time
179,5,2022-04-29,767.66,767.66,280.07,On-Time
180,5,2022-05-29,767.66,767.66,272.1,On-Time
181,5,2022-06-29,767.66,767.66,264.0,On-Time
182,5,2022-07-29,767.66,767.66,255.77,On-Time
183,5,2022-08-29,767.66,767.66,247.41,On-Time
184,5,2022-09-29,767.66,767.66,238.91,On-Time
185,5,2022-10-29,767.66,767.66,230.26,On-Time
186,5,2022-11-29,767.66,767.66,221.48,On-Time
187,5,2022-12-29,767.66,767.66,212.56,On-Time
188,5,2023-01-29,767.66,767.66,203.49,On-Time
189,5,2023-02-28,767.66,767.66,194.27,On-Time
190,5,2023-03-29,767.66,767.66,184.9,On-Time
191,5,2023-04-29,767.66,767.66,175.37,On-Time
192,5,2023-05-29,767.66,767.66,165.69,On-Time
193,5,2023-06-29,767.66,767.66,155.86,On-Time
194,5,2023-07-29,767.66,767.66,145.86,On-Time
195,5,2023-08-29,767.66,767.66,135.7,On-Time
196,5,2023-09-29,767.66,767.66,125.37,On-Time
197,5,2023-10-29,767.66,767.66,114.87,On-Time
198,5,2023-11-29,767.66,767.66,104.21,On-Time
199,5,2023-12-29,767.66,767.66,93.36,On-Time
200,5,2024-01-29,767.66,767.66,82.34,On-Time
201,5,2024-02-29,767.66,767.66,71.15,On-Time
202,5,2024-03-29,767.66,767.66,59.76,On-Time
203,5,2024-04-29,767.66,767.66,48.19,On-Time
204,5,2024-05-29,767.66,767.66,36.44,On-Time
205,5,2024-06-29,767.66,767.66,24.49,On-Time
206,5,2024-07-29,767.66,767.66,12.34,On-Time
207,6,2021-09-23,558.18,558.18,187.48,On-Time
208,6,2021-10-23,558.18,558.18,181.1,On-Time
209,6,2021-11-23,558.18,558.18,174.62,On-Time
210,6,2021-12-23,558.18,558.18,168.02,On-Time
211,6,2022-01-23,558.18,558.18,161.31,On-Time
212,6,2022-02-23,558.18,558.18,154.48,On-Time
213,6,2022-03-23,558.18,558.18,147.54,On-Time
214,6,2022-04-23,558.18,558.18,140.48,On-Time
215,6,2022-05-23,558.18,558.18,133.29,On-Time
216,6,2022-06-23,558.18,558.18,125.99,On-Time
217,6,2022-07-23,558.18,558.18,118.55,On-Time
218,6,2022-08-23,558.18,558.18,110.99,On-Time
219,6,2022-09-23,558.18,558.18,103.3,On-Time
220,6,2022-10-23,558.18,558.18,95.47,Late
221,6,2022-11-23,558.18,558.18,87.52,On-Time
222,6,2022-12-23,558.18,558.18,79.42,On-Time
223,6,2023-01-23,558.18,558.18,71.19,On-Time
224,6,2023-02-23,558.18,558.18,62.81,On-Time
225,6,2023-03-23,558.18,558.18,54.29,On-Time
226,6,2023-04-23,558.18,558.18,45.62,On-Time
227,6,2023-05-23,558.18,558.18,36.81,On-Time
228,6,2023-06-23,558.18,558.18,27.84,On-Time
229,6,2023-07-23,558.18,558.18,18.72,On-Time
230,6,2023-08-23,558.18,558.18,9.44,On-Time
231,7,2023-10-29,519.9,519.9,150.06,On-Time
232,7,2023-11-29,519.9,519.9,144.78,On-Time
233,7,2023-12-29,519.9,519.9,139.42,On-Time
234,7,2024-01-29,519.9,519.9,133.98,On-Time
235,7,2024-02-29,519.9,519.9,128.46,On-Time
236,7,2024-03-29,519.9,519.9,122.87,On-Time
237,7,2024-04-29,519.9,519.9,117.19,On-Time
238,7,2024-05-29,519.9,519.9,111.44,On-Time
239,7,2024-06-29,519.9,519.9,105.6,On-Time
240,7,2024-07-29,519.9,519.9,99.68,On-Time
241,7,2024-08-29,519.9,519.9,93.67,On-Time
242,7,2024-09-29,519.9,519.9,87.58,On-Time
243,7,2024-10-29,519.9,519.9,81.4,On-Time
244,7,2024-11-29,519.9,519.9,75.14,Late
245,7,2024-12-29,519.9,519.9,68.78,Late
246,8,2019-05-29,433.22,433.22,69.83,On-Time
247,8,2019-06-29,433.22,433.22,67.15,On-Time
248,8,2019-07-29,433.22,433.22,64.46,On-Time
249,8,2019-08-29,433.22,433.22,61.75,On-Time
250,8,2019-09-29,433.22,433.22,59.02,On-Time
251,8,2019-10-29,433.22,433.22,56.27,On-Time
252,8,2019-11-29,433.22,433.22,53.5,On-Time
253,8,2019-12-29,433.22,433.22,50.71,On-Time
254,8,2020-01-29,433.22,433.22,47.9,On-Time
255,8,2020-02-29,433.22,433.22,45.07,On-Time
256,8,2020-03-29,433.22,433.22,42.21,On-Time
257,8,2020-04-29,433.22,433.22,39.34,On-Time
258,8,2020-05-29,433.22,433.22,36.45,On-Time
259,8,2020-06-29,433.22,433.22,33.53,On-Time
260,8,2020-07-29,433.22,433.22,30.59,On-Time
261,8,2020-08-29,433.22,433.22,27.63,On-Time
262,8,2020-09-29,433.22,433.22,24.65,On-Time
263,8,2020-10-29,433.22,433.22,21.65,On-Time
264,8,2020-11-29,433.22,433.22,18.62,On-Time
265,8,2020-12-29,433.22,433.22,15.58,On-Time
266,8,2021-01-29,433.22,433.22,12.51,On-Time
267,8,2021-02-28,433.22,433.22,9.41,On-Time
268,8,2021-03-29,433.22,433.22,6.3,On-Time
269,8,2021-04-29,433.22,433.22,3.16,On-Time
270,9,2020-09-09,515.69,515.69,280.78,On-Time
271,9,2020-10-09,515.69,515.69,276.9,On-Time
272,9,2020-11-09,515.69,515.69,272.96,On-Time
273,9,2020-12-09,515.69,515.69,268.95,On-Time
274,9,2021-01-09,515.69,515.69,264.88,On-Time
275,9,2021-02-09,515.69,515.69,260.73,On-Time
276,9,2021-03-09,515.69,515.69,256.52,On-Time
277,9,2021-04-09,515.69,515.69,252.24,On-Time
278,9,2021-05-09,515.69,515.69,247.89,On-Time
279,9,2021-06-09,515.69,515.69,243.47,On-Time
280,9,2021-07-09,515.69,515.69,238.97,On-Time
281,9,2021-08-09,515.69,515.69,234.4,On-Time
282,9,2021-09-09,515.69,515.69,229.75,On-Time
283,9,2021-10-09,515.69,515.69,225.03,On-Time
284,9,2021-11-09,515.69,515.69,220.23,On-Time
285,9,2021-12-09,515.69,515.69,215.35,On-Time
286,9,2022-01-09,515.69,515.69,210.39,On-Time
287,9,2022-02-09,515.69,515.69,205.35,On-Time
288,9,2022-03-09,515.69,515.69,200.22,On-Time
289,9,2022-04-09,515.69,515.69,195.01,On-Time
290,9,2022-05-09,515.69,515.69,189.72,On-Time
291,9,2022-06-09,515.69,515.69,184.33,On-Time
292,9,2022-07-09,515.69,515.69,178.86,On-Time
293,9,2022-08-09,515.69,515.69,173.3,On-Time
294,9,2022-09-09,515.69,515.69,167.64,On-Time
295,9,2022-10-09,515.69,515.69,161.89,On-Time
296,9,2022-11-09,515.69,515.69,156.05,On-Time
297,9,2022-12-09,515.69,515.69,150.11,On-Time
298,9,2023-01-09,515.69,515.69,144.07,On-Time
299,9,2023-02-09,515.69,515.69,137.93,On-Time
300,9,2023-03-09,515.69,515.69,131.69,Late
301,9,2023-04-09,515.69,515.69,125.35,On-Time
302,9,2023-05-09,515.69,515.69,118.9,On-Time
303,9,2023-06-09,515.69,515.69,112.35,On-Time
304,9,2023-07-09,515.69,515.69,105.69,On-Time
305,9,2023-08-09,515.69,515.69,98.92,On-Time
306,9,2023-09-09,515.69,515.69,92.03,On-Time
307,9,2023-10-09,515.69,515.69,85.03,On-Time
308,9,2023-11-09,515.69,515.69,77.92,On-Time
309,9,2023-12-09,515.69,515.69,70.69,On-Time
310,9,2024-01-09,515.69,515.69,63.34,On-Time
311,9,2024-02-09,515.69,515.69,55.87,On-Time
312,9,2024-03-09,515.69,515.69,48.28,On-Time
313,9,2024-04-09,515.69,515.69,40.56,On-Time
314,9,2024-05-09,515.69,515.69,32.71,On-Time
315,9,2024-06-09,515.69,515.69,24.73,On-Time
316,9,2024-07-09,515.69,515.69,16.62,On-Time
317,9,2024-08-09,515.69,515.69,8.38,On-Time
318,10,2018-04-23,404.94,404.94,129.53,On-Time
319,10,2018-05-23,404.94,404.94,125.07,On-Time
320,10,2018-06-23,404.94,404.94,120.54,On-Time
321,10,2018-07-23,404.94,404.94,115.94,On-Time
322,10,2018-08-23,404.94,404.94,111.26,On-Time
323,10,2018-09-23,404.94,404.94,106.5,On-Time
324,10,2018-10-23,404.94,404.94,101.67,On-Time
325,10,2018-11-23,404.94,404.94,96.76,On-Time
326,10,2018-12-23,404.94,404.94,91.77,On-Time
327,10,2019-01-23,404.94,404.94,86.7,On-Time
328,10,2019-02-23,404.94,404.94,81.55,On-Time
329,10,2019-03-23,404.94,404.94,76.31,On-Time
330,10,2019-04-23,404.94,404.94,70.99,On-Time
331,10,2019-05-23,404.94,404.94,65.58,On-Time
332,10,2019-06-23,404.94,404.94,60.09,On-Time
333,10,2019-07-23,404.94,404.94,54.5,On-Time
334,10,2019-08-23,404.94,404.94,48.83,On-Time
335,10,2019-09-23,404.94,404.94,43.06,On-Time
336,10,2019-10-23,404.94,404.94,37.2,On-Time
337,10,2019-11-23,404.94,404.94,31.25,On-Time
338,10,2019-12-23,404.94,404.94,25.2,On-Time
339,10,2020-01-23,404.94,404.94,19.05,On-Time
340,10,2020-02-23,404.94,404.94,12.8,On-Time
341,10,2020-03-23,404.94,404.94,6.45,On-Time
342,11,2023-04-18,182.54,182.54,52.66,On-Time
343,11,2023-05-18,182.54,182.54,51.74,On-Time
344,11,2023-06-18,182.54,182.54,50.81,On-Time
345,11,2023-07-18,182.54,182.54,49.87,On-Time
346,11,2023-08-18,182.54,182.54,48.93,On-Time
347,11,2023-09-18,182.54,182.54,47.98,On-Time
348,11,2023-10-18,182.54,182.54,47.02,On-Time
349,11,2023-11-18,182.54,182.54,46.05,On-Time
350,11,2023-12-18,182.54,182.54,45.08,On-Time
351,11,2024-01-18,182.54,182.54,44.1,On-Time
352,11,2024-02-18,182.54,182.54,43.12,On-Time
353,11,2024-03-18,182.54,182.54,42.13,On-Time
354,11,2024-04-18,182.54,182.54,41.13,On-Time
355,11,2024-05-18,182.54,182.54,40.12,On-Time
356,11,2024-06-18,182.54,182.54,39.11,On-Time
357,11,2024-07-18,182.54,182.54,38.09,On-Time
358,11,2024-08-18,182.54,182.54,37.06,On-Time
359,11,2024-09-18,182.54,182.54,36.02,On-Time
360,11,2024-10-18,182.54,182.54,34.98,On-Time
361,11,2024-11-18,182.54,182.54,33.93,On-Time
362,11,2024-12-18,182.54,182.54,32.87,On-Time
363,12,2023-07-27,179.46,179.46,75.52,On-Time
364,12,2023-08-27,179.46,179.46,74.33,On-Time
365,12,2023-09-27,179.46,179.46,73.12,On-Time
366,12,2023-10-27,179.46,179.46,71.91,On-Time
367,12,2023-11-27,179.46,179.46,70.68,On-Time
368,12,2023-12-27,179.46,179.46,69.43,On-Time
369,12,2024-01-27,179.46,179.46,68.17,On-Time
370,12,2024-02-27,179.46,179.46,66.9,On-Time
371,12,2024-03-27,179.46,179.46,65.61,On-Time
372,12,2024-04-27,179.46,179.46,64.31,On-Time
373,12,2024-05-27,179.46,179.46,62.99,On-Time
374,12,2024-06-27,179.46,179.46,61.66,On-Time
375,12,2024-07-27,179.46,179.46,60.31,On-Time
376,12,2024-08-27,179.46,179.46,58.95,On-Time
377,12,2024-09-27,179.46,179.46,57.57,On-Time
378,12,2024-10-27,179.46,179.46,56.17,On-Time
379,12,2024-11-27,179.46,179.46,54.76,On-Time
380,12,2024-12-27,179.46,179.46,53.34,On-Time
381,13,2019-03-09,74.1,74.1,21.14,On-Time
382,13,2019-04-09,74.1,74.1,20.39,On-Time
383,13,2019-05-09,74.1,74.1,19.63,On-Time
384,13,2019-06-09,74.1,74.1,18.87,On-Time
385,13,2019-07-09,74.1,74.1,18.09,On-Time
386,13,2019-08-09,74.1,74.1,17.3,On-Time
387,13,2019-09-09,74.1,74.1,16.5,On-Time
388,13,2019-10-09,74.1,74.1,15.69,On-Time
389,13,2019-11-09,74.1,74.1,14.86,On-Time
390,13,2019-12-09,74.1,74.1,14.03,On-Time
391,13,2020-01-09,74.1,74.1,13.18,On-Time
392,13,2020-02-09,74.1,74.1,12.32,On-Time
393,13,2020-03-09,74.1,74.1,11.45,On-Time
394,13,2020-04-09,74.1,74.1,10.57,On-Time
395,13,2020-05-09,74.1,74.1,9.68,On-Time
396,13,2020-06-09,74.1,74.1,8.77,On-Time
397,13,2020-07-09,74.1,74.1,7.85,On-Time
398,13,2020-08-09,74.1,74.1,6.91,On-Time
399,13,2020-09-09,74.1,74.1,5.97,On-Time
400,13,2020-10-09,74.1,74.1,5.01,On-Time
401,13,2020-11-09,74.1,74.1,4.03,On-Time
402,13,2020-12-09,74.1,74.1,3.05,On-Time
403,13,2021-01-09,74.1,74.1,2.05,On-Time
404,13,2021-02-09,74.1,74.1,1.03,Late
405,14,2020-09-13,168.77,168.77,42.12,On-Time
406,14,2020-10-13,168.77,168.77,40.59,On-Time
407,14,2020-11-13,168.77,168.77,39.05,On-Time
408,14,2020-12-13,168.77,168.77,37.49,On-Time
409,14,2021-01-13,168.77,168.77,35.91,On-Time
410,14,2021-02-13,168.77,168.77,34.31,On-Time
411,14,2021-03-13,168.77,168.77,32.69,On-Time
412,14,2021-04-13,168.77,168.77,31.05,On-Time
413,14,2021-05-13,168.77,168.77,29.4,On-Time
414,14,2021-06-13,168.77,168.77,27.72,On-Time
415,14,2021-07-13,168.77,168.77,26.02,On-Time
416,14,2021-08-13,168.77,168.77,24.31,On-Time
417,14,2021-09-13,168.77,168.77,22.57,On-Time
418,14,2021-10-13,168.77,168.77,20.81,On-Time
419,14,2021-11-13,168.77,168.77,19.03,On-Time
420,14,2021-12-13,168.77,168.77,17.23,On-Time
421,14,2022-01-13,168.77,168.77,15.4,On-Time
422,14,2022-02-13,168.77,168.77,13.56,On-Time
423,14,2022-03-13,168.77,168.77,11.69,On-Time
424,14,2022-04-13,168.77,168.77,9.8,On-Time
425,14,2022-05-13,168.77,168.77,7.89,On-Time
426,14,2022-06-13,168.77,168.77,5.95,On-Time
427,14,2022-07-13,168.77,168.77,3.99,On-Time
428,14,2022-08-13,168.77,168.77,2.01,On-Time
429,15,2022-05-03,148.99,148.99,43.65,On-Time
430,15,2022-06-03,148.99,148.99,42.12,On-Time
431,15,2022-07-03,148.99,148.99,40.56,On-Time
432,15,2022-08-03,148.99,148.99,38.98,On-Time
433,15,2022-09-03,148.99,148.99,37.38,On-Time
434,15,2022-10-03,148.99,148.99,35.76,On-Time
435,15,2022-11-03,148.99,148.99,34.11,On-Time
436,15,2022-12-03,148.99,148.99,32.44,On-Time
437,15,2023-01-03,148.99,148.99,30.75,On-Time
438,15,2023-02-03,148.99,148.99,29.02,On-Time
439,15,2023-03-03,148.99,148.99,27.28,On-Time
440,15,2023-04-03,148.99,148.99,25.51,On-Time
441,15,2023-05-03,148.99,148.99,23.71,On-Time
442,15,2023-06-03,148.99,148.99,21.89,On-Time
443,15,2023-07-03,148.99,148.99,20.04,On-Time
444,15,2023-08-03,148.99,148.99,18.16,On-Time
445,15,2023-09-03,148.99,148.99,16.26,On-Time
446,15,2023-10-03,148.99,148.99,14.33,On-Time
447,15,2023-11-03,148.99,148.99,12.37,On-Time
448,15,2023-12-03,148.99,148.99,10.38,On-Time
449,15,2024-01-03,148.99,148.99,8.36,On-Time
450,15,2024-02-03,148.99,148.99,6.32,On-Time
451,15,2024-03-03,148.99,148.99,4.24,On-Time
452,15,2024-04-03,148.99,148.99,2.14,On-Time
453,16,2022-06-05,2155.13,2155.13,816.27,On-Time
454,16,2022-07-05,2155.13,2155.13,802.93,On-Time
455,16,2022-08-05,2155.13,2155.13,789.45,On-Time
456,16,2022-09-05,2155.13,2155.13,775.84,On-Time
457,16,2022-10-05,2155.13,2155.13,762.09,On-Time
458,16,2022-11-05,2155.13,2155.13,748.21,On-Time
459,16,2022-12-05,2155.13,2155.13,734.18,On-Time
460,16,2023-01-05,2155.13,2155.13,720.02,On-Time
461,16,2023-02-05,2155.13,2155.13,705.72,On-Time
462,16,2023-03-05,2155.13,2155.13,691.27,On-Time
463,16,2023-04-05,2155.13,2155.13,676.68,On-Time
464,16,2023-05-05,2155.13,2155.13,661.95,On-Time
465,16,2023-06-05,2155.13,2155.13,647.07,On-Time
466,16,2023-07-05,2155.13,2155.13,632.04,On-Time
467,16,2023-08-05,2155.13,2155.13,616.86,On-Time
468,16,2023-09-05,2155.13,2155.13,601.52,On-Time
469,16,2023-10-05,2155.13,2155.13,586.04,On-Time
470,16,2023-11-05,2155.13,2155.13,570.4,On-Time
471,16,2023-12-05,2155.13,2155.13,554.61,On-Time
472,16,2024-01-05,2155.13,2155.13,538.65,On-Time
473,16,2024-02-05,2155.13,2155.13,522.54,On-Time
474,16,2024-03-05,2155.13,2155.13,506.27,On-Time
475,16,2024-04-05,2155.13,2155.13,489.84,On-Time
476,16,2024-05-05,2155.13,2155.13,473.24,On-Time
477,16,2024-06-05,2155.13,2155.13,456.48,On-Time
478,16,2024-07-05,2155.13,2155.13,439.55,On-Time
479,16,2024-08-05,2155.13,2155.13,422.45,On-Time
480,16,2024-09-05,2155.13,2155.13,405.18,On-Time
481,16,2024-10-05,2155.13,2155.13,387.74,On-Time
482,16,2024-11-05,2155.13,2155.13,370.12,On-Time
483,16,2024-12-05,2155.13,2155.13,352.33,On-Time
484,17,2022-12-02,217.04,217.04,97.44,On-Time
485,17,2023-01-02,217.04,217.04,95.94,On-Time
486,17,2023-02-02,217.04,217.04,94.43,On-Time
487,17,2023-03-02,217.04,217.04,92.9,On-Time
488,17,2023-04-02,217.04,217.04,91.35,On-Time
