emp_id,customer_id,employment_status,annual_income,employer_name,years_employed,date_employed
40,40,full-time,39918,Yodo,7,2018-10-13
41,41,full-time,44290,Jabbertype,6,2019-01-07
42,42,full-time,61533,Jaxspan,10,2015-08-25
43,43,full-time,99420,Jetpulse,9,2016-09-19
44,44,full-time,114561,Brainsphere,4,2021-09-24
45,45,self-employed,126679,Freelance,,
46,46,full-time,77092,Jetpulse,12,2013-08-20
47,47,full-time,75787,Wikivu,3,2022-05-20
48,48,part-time,13766,Yotz,14,2011-07-03
49,49,full-time,60338,Jetpulse,15,2010-09-25
50,50,part-time,28898,Quatz,14,2011-05-22
51,51,full-time,68926,Yoveo,15,2010-07-12
52,52,full-time,61312,Photolist,15,2010-10-03
53,53,full-time,66522,Fatz,1,2024-05-21
54,54,full-time,77083,Ntags,4,2021-03-24
55,55,full-time,56586,Zoomdog,9,2016-11-01
56,56,full-time,50415,Oodoo,5,2020-09-09
57,57,full-time,49573,Lazzy,15,2010-10-08
58,58,part-time,27960,Jazzy,4,2021-04-14
59,59,full-time,38866,Voonyx,12,2013-08-14
60,60,self-employed,506186,self-employed,,
61,61,full-time,52141,Jaxbean,15,2010-04-03
62,62,part-time,33124,Meembee,8,2017-02-22
63,63,full-time,82815,Zoozzy,4,2021-07-11
64,64,full-time,76399,Eayo,3,2022-04-11
65,65,full-time,107753,Tagcat,9,2016-03-18
66,66,full-time,75771,Pixope,1,2024-08-13
67,67,full-time,54077,Fiveclub,7,2018-09-13
68,68,full-time,87123,Photobug,13,2012-10-03
69,69,full-time,86789,Topiclounge,13,2012-06-10
70,70,full-time,35825,Jabberbean,14,2011-10-05
71,71,full-time,66122,Yodel,13,2012-09-07
72,72,full-time,51874,Skajo,10,2015-10-20
73,73,full-time,69367,Tazzy,4,2021-10-13
74,74,part-time,20285,Realcube,15,2010-04-09
75,75,full-time,75660,Innojam,7,2018-09-25
76,76,full-time,35395,Topiczoom,4,2021-07-25
77,77,unemployed,0,N/A,0,
78,78,full-time,60608,Wikivu,12,2013-08-29
79,79,unemployed,0,N/A,0,
80,80,full-time,75668,Brainbox,2,2023-08-31
81,81,self-employed,171852,self-employed,,
82,82,full-time,231509,Devbug,11,2014-03-13
83,83,full-time,999255,Skinte,14,2011-06-09
84,84,full-time,61083,Realbridge,7,2018-07-24
85,85,full-time,82526,Buzzster,2,2023-05-29
86,86,full-time,74211,Kazio,11,2013-12-02
87,87,full-time,36486,Topicstorm,12,2013-04-21
88,88,full-time,117562,Flashpoint,10,2015-01-20
89,89,full-time,79499,Ailane,10,2015-02-17
90,90,self-employed,57258,self-employed,,
91,91,full-time,61660,Katz,8,2016-12-07
92,92,full-time,45134,Jaxbean,3,2022-01-14
93,93,full-time,42385,Topiczoom,12,2013-04-04
94,94,part-time,18510,Quaxo,12,2013-07-17
95,95,full-time,73684,Dabfeed,8,2017-05-08
96,96,full-time,103893,Twinte,11,2014-03-29
97,97,full-time,40356,Pixonyx,10,2015-08-10
98,98,full-time,35682,Brainlounge,14,2011-11-29
99,99,part-time,23851,Kare,9,2016-02-17
100,100,full-time,58379,Livetube,15,2010-01-19
101,101,full-time,47010,Quimba,6,2019-01-20
102,102,full-time,111453,Gigazoom,6,2019-02-03
103,103,self-employed,78266,self-employed,,
104,104,full-time,39887,Skivee,8,2017-07-09
105,105,full-time,224733,Yoveo,7,2018-02-08
106,106,full-time,127845,Wikibox,15,2010-09-01
107,107,self-employed,46732,Freelance,,
108,108,full-time,77877,Twitterlist,15,2010-04-14
109,109,full-time,44107,Flashdog,7,2018-01-07
110,110,self-employed,99322,Freelance,,
111,111,full-time,82634,Divape,15,2010-09-29
112,112,full-time,41543,Voomm,5,2020-10-24
113,113,full-time,82655,Buzzbean,7,2018-11-25
114,114,full-time,79017,InnoZ,15,2010-11-24
115,115,full-time,84531,Yakitri,5,2020-05-07
116,116,full-time,79959,Yombu,14,2011-10-29
117,117,full-time,71911,Eidel,6,2019-06-28
118,118,full-time,85261,Wordtune,10,2015-10-18
119,119,full-time,195111,Mudo,14,2011-02-05
120,120,full-time,70284,Vidoo,9,2016-07-10
121,121,full-time,59660,Devpoint,11,2014-01-12
122,122,full-time,67483,Yakijo,15,2010-10-29
123,123,full-time,113169,Voonix,9,2016-05-01
124,124,full-time,52463,Topicblab,9,2016-06-27
125,125,full-time,35627,Reallinks,8,2017-09-20
126,126,full-time,65707,Devpulse,11,2013-12-12
127,127,full-time,38544,Mybuzz,7,2017-12-28
128,128,self-employed,113408,self-employed,,
129,129,full-time,42241,Izio,1,2023-12-22
130,130,part-time,21146,Mymm,6,2019-06-27
131,131,unemployed,0,N/A,0,
132,132,full-time,59735,Jaloo,8,2017-06-15
133,133,full-time,75850,Meevee,10,2015-08-14
134,134,full-time,187770,Avavee,10,2015-04-22
135,135,full-time,73816,Gabtype,3,2022-05-02
136,136,part-time,15743,Livepath,11,2014-06-23
137,137,full-time,78341,Oyondu,4,2021-04-01
138,138,full-time,43851,Plajo,1,2024-08-04
139,139,full-time,116499,Youspan,1,2024-07-27
140,140,full-time,81084,Oyonder,8,2017-04-04
141,141,full-time,58429,Jetpulse,10,2015-03-23
142,142,unemployed,0,N/A,0,
143,143,full-time,39288,Eire,12,2013-08-04
144,144,full-time,107058,Thoughtstorm,3,2022-05-17
145,145,full-time,60562,Myworks,4,2021-10-16
146,146,full-time,55238,Kanoodle,10,2015-08-15
147,147,full-time,73019,Bluezoom,6,2019-03-25
148,148,full-time,81582,Dabfeed,4,2021-08-24
149,149,full-time,131989,Browsezoom,13,2012-02-06
150,150,full-time,81446,Browsedrive,8,2016-12-28
151,151,full-time,90779,Skipfire,10,2015-01-08
152,152,part-time,18292,DabZ,9,2016-04-14
153,153,part-time,30849,Tekfly,13,2012-02-14
154,154,full-time,82557,Midel,10,2015-02-23
155,155,full-time,80493,Twimbo,13,2012-10-20
156,156,full-time,80256,Tanoodle,4,2021-03-21
157,157,full-time,63531,Yodoo,6,2019-03-23
158,158,full-time,84527,Yoveo,15,2010-11-23
159,159,full-time,52407,Browsebug,9,2016-01-12
160,160,unemployed,0,N/A,0,
161,161,self-employed,75614,Freelance,,
162,162,unemployed,0,N/A,0,
163,163,full-time,51100,Fliptune,1,2023-12-13
164,164,full-time,72919,Jatri,5,2020-11-16
165,165,self-employed,73684,self-employed,,
166,166,full-time,42163,Janyx,7,2018-08-20
167,167,full-time,117550,Meembee,2,2023-11-09
168,168,full-time,52677,Skyndu,4,2021-08-29
169,169,full-time,76710,Twitterwire,6,2019-06-16
170,170,full-time,74897,Jetwire,11,2014-07-05
171,171,full-time,79925,Einti,2,2023-01-01
172,172,full-time,69728,Dynava,12,2013-05-27
173,173,self-employed,696447,self-employed,,
174,174,full-time,78319,Abata,15,2010-03-10
175,175,full-time,66620,Ailane,6,2019-11-25
176,176,self-employed,42360,Freelance,,
177,177,full-time,58396,Fliptune,15,2010-03-25
178,178,self-employed,43297,self-employed,,
179,179,full-time,108854,Oyoyo,13,2012-01-08
180,180,full-time,83721,Babbleset,1,2024-04-03
181,181,full-time,66004,Avamba,15,2010-05-25
182,182,full-time,45635,Skiba,10,2015-04-16
183,183,full-time,974740,Pixope,3,2022-06-11
184,184,full-time,83411,Dabfeed,15,2010-10-26
185,185,part-time,32925,Omba,13,2012-09-13
186,186,full-time,42306,Skyvu,5,2020-10-04
187,187,full-time,106474,Brainbox,10,2015-06-18
188,188,self-employed,62665,Freelance,,
189,189,self-employed,110327,self-employed,,
190,190,part-time,19725,Yabox,9,2016-04-30
191,191,full-time,109637,Topicstorm,3,2022-03-30
192,192,full-time,84040,Yozio,7,2018-03-09
193,193,full-time,71214,Tavu,8,2017-07-19
194,194,full-time,62987,Jayo,4,2021-07-11
195,195,unemployed,0,N/A,0,
196,196,full-time,67465,Photobean,9,2016-01-17
197,197,self-employed,646330,self-employed,,
198,198,full-time,47637,Demivee,11,2014-03-02
199,199,self-employed,77162,self-employed,,
200,200,full-time,67496,Flashpoint,5,2020-10-30
201,201,full-time,60157,Zazio,6,2019-08-23
202,202,self-employed,49811,Freelance,,
203,203,full-time,63197,Digitube,7,2018-11-26
204,204,full-time,62024,Aimbu,4,2021-07-10
205,205,full-time,74013,Topiczoom,1,2024-10-11
206,206,full-time,74805,Brainlounge,8,2017-04-23
207,207,full-time,60967,Kimia,7,2018-09-01
208,208,self-employed,37175,Freelance,,
209,209,part-time,34365,Vidoo,5,2020-09-04
210,210,full-time,61227,Zooveo,13,2012-10-11
211,211,full-time,56879,Jayo,6,2019-09-28
212,212,full-time,82150,Oba,4,2021-07-14
213,213,full-time,43491,Twimbo,6,2018-12-26
214,214,unemployed,0,N/A,0,
215,215,full-time,130444,Voonix,12,2013-05-12
216,216,self-employed,56496,Freelance,,
217,217,full-time,57747,Wikibox,10,2015-10-04
218,218,part-time,15263,Zava,13,2012-10-31
219,219,full-time,38273,Browsebug,15,2010-10-24
220,220,full-time,39756,Jaxbean,2,2022-12-27
221,221,full-time,98431,Brainsphere,13,2012-10-07
222,222,part-time,21728,Centimia,6,2018-12-13
223,223,full-time,57326,Skivee,7,2018-11-20
224,224,self-employed,451876,Freelance,,
225,225,full-time,75396,Kimia,9,2015-12-30
226,226,part-time,32387,Devcast,2,2023-01-12
227,227,self-employed,87609,Freelance,,
228,228,full-time,81233,Teklist,9,2016-01-03
229,229,full-time,61398,Dynabox,12,2013-01-27
230,230,part-time,26124,Thoughtsphere,3,2022-05-29
231,231,unemployed,0,N/A,0,
232,232,full-time,134719,Fivechat,9,2016-04-23
233,233,full-time,107446,Katz,3,2022-10-16
234,234,full-time,96690,Jetwire,7,2017-12-26
235,235,full-time,39140,Realfire,2,2023-03-17
236,236,self-employed,80698,self-employed,,
237,237,part-time,14174,Twitterlist,14,2010-12-08
238,238,full-time,69109,Divavu,15,2010-06-29
239,239,full-time,116725,Tazzy,3,2022-07-21
240,240,full-time,54098,Ntags,4,2021-02-02
241,241,full-time,50047,Yakijo,1,2024-04-02
242,242,full-time,70225,Tagtune,6,2019-03-23
243,243,full-time,75090,Nlounge,8,2017-09-06
244,244,full-time,69615,Realcube,7,2017-12-20
245,245,full-time,67106,Vipe,8,2017-07-21
246,246,full-time,973724,Einti,1,2024-08-13
247,247,self-employed,61339,Freelance,,
248,248,full-time,70690,Blogtag,2,2023-06-22
249,249,self-employed,133968,self-employed,,
250,250,full-time,76654,Miboo,11,2014-08-24
251,251,part-time,13495,Pixope,13,2012-05-25
252,252,full-time,60828,Bubblebox,13,2012-09-05
253,253,full-time,89733,Brainsphere,13,2012-02-21
254,254,full-time,80907,Skyble,9,2016-10-12
255,255,full-time,59370,Kwimbee,12,2012-12-28
256,256,full-time,73883,Thoughtstorm,7,2018-05-13
257,257,full-time,107805,Topicstorm,7,2018-11-09
258,258,self-employed,50354,Freelance,,
259,259,full-time,47484,Skyndu,7,2018-05-19
260,260,self-employed,72203,self-employed,,
261,261,full-time,110901,Oyoba,5,2020-04-06
262,262,self-employed,64082,self-employed,,
263,263,full-time,133773,Babbleset,6,2019-05-16
264,264,full-time,51239,Zoovu,4,2021-07-03
265,265,full-time,93844,Linktype,7,2018-08-30
266,266,full-time,81817,Yodo,3,2022-06-14
267,267,full-time,38786,Jabberbean,2,2023-10-27
268,268,full-time,67604,Gigazoom,15,2010-04-01
269,269,part-time,22775,Quimm,5,2020-03-22
270,270,self-employed,72425,Freelance,,
271,271,full-time,94221,Buzzster,12,2013-03-08
272,272,self-employed,47101,Freelance,,
273,273,part-time,16609,Plajo,2,2023-10-13
274,274,full-time,379336,Kaymbo,10,2015-02-18
275,275,full-time,130578,Thoughtbridge,13,2012-09-26
276,276,full-time,67576,Demivee,4,2021-11-02
277,277,full-time,489877,Skipstorm,15,2010-04-06
278,278,full-time,72515,Kwilith,1,2024-09-16
279,279,full-time,77247,Fadeo,10,2015-03-02
280,280,self-employed,38933,self-employed,,
281,281,full-time,231668,Brightbean,13,2012-04-16
282,282,full-time,205493,Shuffletag,10,2015-09-03
283,283,self-employed,43723,self-employed,,
284,284,full-time,72279,Skimia,8,2017-08-30
285,285,self-employed,58740,self-employed,,
286,286,self-employed,55090,self-employed,,
287,287,full-time,139776,Thoughtbridge,8,2017-05-29
288,288,full-time,52073,Ntag,10,2015-01-06
289,289,full-time,90865,Eire,9,2016-08-30
290,290,full-time,71595,Zooveo,14,2011-09-24
291,291,self-employed,69975,self-employed,,
292,292,self-employed,80200,Freelance,,
293,293,unemployed,0,N/A,0,
294,294,full-time,69230,Aivee,9,2016-11-18
295,295,full-time,113630,Dynabox,15,2010-03-22
296,296,full-time,61474,Edgeblab,2,2023-09-01
297,297,part-time,18403,Zoonder,12,2013-06-08
298,298,full-time,40997,Meemm,5,2020-08-17
299,299,full-time,69574,Feedfish,10,2015-02-27
300,300,self-employed,54645,self-employed,,
301,301,full-time,70619,Rhynoodle,14,2011-09-05
302,302,part-time,15995,Tazz,8,2017-03-27
303,303,full-time,79765,LiveZ,10,2015-11-26
304,304,full-time,73661,Plambee,2,2023-07-23
305,305,full-time,57407,Ntags,5,2020-03-24
306,306,full-time,60478,Skyndu,11,2014-04-15
307,307,part-time,29997,Pixope,14,2011-06-17
308,308,full-time,44323,Dynabox,2,2023-04-20
309,309,full-time,84250,Fadeo,7,2018-07-18
310,310,self-employed,98797,self-employed,,
311,311,full-time,46496,Twitternation,1,2024-02-10
312,312,part-time,26373,Dabjam,3,2022-01-11
313,313,part-time,22934,Bubblebox,14,2011-04-01
314,314,unemployed,0,N/A,0,
315,315,full-time,83569,Feedbug,2,2023-01-18
316,316,full-time,89954,Kare,3,2022-07-14
317,317,full-time,213131,Rhybox,14,2011-03-21
318,318,self-employed,78623,self-employed,,
319,319,part-time,27375,InnoZ,2,2023-10-19
320,320,full-time,115090,Linkbridge,2,2023-03-01
321,321,full-time,6632333,Buzzdog,4,2021-02-25
322,322,part-time,25146,Voonte,5,2020-05-31
323,323,full-time,75467,Thoughtstorm,11,2014-11-16
324,324,self-employed,83064,self-employed,,
325,325,full-time,56533,Brainlounge,14,2010-12-31
326,326,full-time,45397,Gabvine,14,2011-04-22
327,327,full-time,65955,Blogtag,14,2011-07-12
328,328,full-time,65967,Talane,13,2012-03-19
329,329,full-time,69797,Jabbersphere,9,2016-06-01
330,330,full-time,787989,Kazu,3,2022-04-11
331,331,full-time,41766,Npath,13,2012-08-14
332,332,full-time,84689,Gabcube,3,2021-12-06
333,333,full-time,80365,Tagfeed,9,2015-12-26
334,334,self-employed,225046,self-employed,,
335,335,self-employed,108057,Freelance,,
336,336,full-time,58831,Linktype,6,2019-07-23
337,337,full-time,81381,Realcube,13,2012-10-27
338,338,full-time,82534,Realcube,13,2012-02-01
339,339,unemployed,0,N/A,0,
340,340,full-time,44415,Kazu,5,2020-08-03
341,341,full-time,77024,Digitube,15,2010-10-26
342,342,full-time,47965,Flashspan,9,2016-06-29
343,343,full-time,507595,Gigashots,7,2017-12-18
344,344,full-time,770013,Eazzy,7,2018-06-26
345,345,unemployed,0,N/A,0,
346,346,full-time,47925,Wikivu,13,2012-04-27
347,347,self-employed,40567,Freelance,,
348,348,full-time,68103,Twinder,14,2011-04-04
349,349,part-time,17545,Quinu,7,2018-09-19
350,350,part-time,14235,Tagpad,8,2017-11-23
351,351,self-employed,118129,Freelance,,
352,352,full-time,60023,Trudeo,7,2018-07-02
353,353,self-employed,55566,Freelance,,
354,354,full-time,187458,Fliptune,2,2023-01-20
355,355,full-time,120646,Mydo,6,2019-07-08
356,356,full-time,69718,Flipstorm,6,2019-11-11
357,357,part-time,25370,Fivebridge,10,2015-10-10
358,358,full-time,41504,Eimbee,10,2015-03-14
359,359,full-time,82740,Topicblab,9,2016-07-27
360,360,full-time,72420,Zazio,1,2024-06-10
361,361,self-employed,72975,self-employed,,
362,362,full-time,83204,Divanoodle,3,2022-04-14
363,363,full-time,58889,Yodoo,11,2014-01-23
364,364,full-time,36970,Thoughtsphere,5,2020-10-31
365,365,full-time,41447,Realbuzz,13,2012-11-29
366,366,full-time,83121,Zoovu,7,2018-01-08
367,367,self-employed,84469,Freelance,,
368,368,full-time,854237,Yodoo,1,2024-06-21
369,369,part-time,18533,Nlounge,4,2021-09-07
370,370,full-time,419460,Buzzbean,6,2018-12-07
371,371,unemployed,0,N/A,0,
372,372,full-time,96355,Meemm,15,2010-10-12
373,373,full-time,45824,Midel,12,2013-07-04
374,374,full-time,58276,Shuffletag,12,2013-05-03
375,375,part-time,14414,Rhyzio,10,2015-08-01
376,376,self-employed,131959,Freelance,,
377,377,unemployed,0,N/A,0,
378,378,self-employed,58989,Freelance,,
379,379,full-time,82489,Edgeclub,8,2017-11-26
380,380,unemployed,0,N/A,0,
381,381,full-time,35938,Pixoboo,12,2013-09-21
382,382,full-time,702994,Fanoodle,1,2024-01-16
383,383,self-employed,43090,Freelance,,
384,384,full-time,37483,Oodoo,7,2018-06-10
385,385,full-time,52005,Fivebridge,8,2017-03-23
386,386,full-time,61107,Dynabox,1,2024-08-16
387,387,self-employed,169763,Freelance,,
388,388,full-time,63466,Mudo,2,2023-01-31
389,389,full-time,123758,Gigaclub,8,2017-05-08
390,390,full-time,91810,Eayo,2,2023-11-09
391,391,self-employed,87149,Freelance,,
392,392,full-time,61475,Trunyx,14,2011-05-06
393,393,self-employed,72372,self-employed,,
394,394,self-employed,128108,self-employed,,
395,395,full-time,162831,Twitterlist,15,2010-10-11
396,396,full-time,997073,Oozz,10,2014-12-29
397,397,full-time,125219,InnoZ,8,2017-11-15
398,398,full-time,63595,Oyoloo,6,2019-01-02
399,399,full-time,4864701,Kazio,4,2021-02-13
400,400,full-time,81192,Quimm,8,2017-10-21
401,401,full-time,68357,Fadeo,8,2017-01-25
402,402,full-time,40118,Kimia,2,2023-11-22
403,403,full-time,89235,Realbridge,14,2011-10-24
404,404,full-time,54892,Topicblab,6,2019-03-15
405,405,full-time,80305,Flashdog,11,2014-06-01
406,406,full-time,76065,Divape,13,2012-09-05
407,407,self-employed,102175,Freelance,,
408,408,full-time,106340,Chatterpoint,2,2023-01-29
409,409,self-employed,82043,self-employed,,
410,410,full-time,41482,Ailane,9,2016-11-17
411,411,full-time,43923,Aibox,4,2021-05-23
412,412,full-time,47786,Twitterbridge,3,2022-09-20
413,413,full-time,187061,Blogtags,1,2024-02-02
414,414,full-time,45621,Quimm,2,2023-11-24
415,415,full-time,56299,Dabjam,11,2014-10-11
416,416,full-time,208298,Avamba,7,2018-11-27
417,417,full-time,81652,Vitz,5,2020-03-03
418,418,full-time,83983,Avamm,8,2016-12-18
419,419,self-employed,246483,Freelance,,
420,420,full-time,130723,Jaxworks,12,2013-08-01
421,421,full-time,83160,Zoozzy,15,2010-01-29
422,422,full-time,154527,Kwilith,13,2011-12-24
423,423,full-time,84468,Edgetag,7,2018-05-27
424,424,full-time,88595,Zoozzy,14,2011-09-19
425,425,full-time,54917,Youfeed,9,2015-12-31
426,426,unemployed,0,N/A,0,
427,427,self-employed,89716,Freelance,,
428,428,unemployed,0,N/A,0,
429,429,unemployed,0,N/A,0,
430,430,full-time,112866,Layo,13,2012-08-14
431,431,self-employed,74190,Freelance,,
432,432,full-time,88859,Jabbersphere,15,2010-03-01
433,433,self-employed,49250,Freelance,,
434,434,full-time,54542,Kimia,14,2011-06-07
435,435,unemployed,0,N/A,0,
436,436,full-time,549533,Devpoint,8,2017-07-28
437,437,self-employed,89975,self-employed,,
438,438,full-time,55873,Viva,14,2011-10-13
439,439,full-time,241931,Quatz,8,2017-08-29
440,440,full-time,132304,Brightdog,3,2022-02-01
441,441,full-time,140763,Vinder,9,2016-08-14
442,442,full-time,54161,Flipopia,14,2011-09-02
443,443,full-time,73840,Jetwire,3,2022-07-26
444,444,full-time,65325,Gabspot,15,2010-03-31
445,445,full-time,80090,Kaymbo,9,2016-09-05
446,446,full-time,79270,Kazio,4,2021-01-08
447,447,full-time,71485,Rhynyx,9,2016-10-09
448,448,full-time,50325,Oloo,4,2021-03-03
449,449,full-time,76391,Centidel,10,2015-10-22
450,450,full-time,54702,Skaboo,11,2014-04-20
451,451,full-time,81415,Jabbersphere,4,2021-08-17
452,452,unemployed,0,N/A,0,
453,453,full-time,75454,Gabvine,6,2019-03-21
454,454,full-time,68792,Yadel,5,2020-07-31
455,455,part-time,29297,Oloo,13,2012-08-16
456,456,full-time,79752,Skippad,2,2023-03-15
457,457,full-time,51651,Mydo,3,2022-09-22
458,458,full-time,113357,Voomm,14,2011-11-26
459,459,full-time,118524,Digitube,5,2020-03-02
460,460,full-time,112662,Lazz,1,2024-09-21
461,461,full-time,52853,Realpoint,14,2011-09-29
462,462,full-time,75993,Jatri,11,2014-07-23
463,463,full-time,61490,Kaymbo,10,2015-02-27
464,464,part-time,25626,Tagtune,13,2012-09-22
465,465,self-employed,83032,self-employed,,
466,466,full-time,82104,Feedbug,12,2013-10-23
467,467,full-time,112266,Blognation,3,2022-10-08
468,468,full-time,38925,Leenti,2,2023-01-31
469,469,full-time,114904,Quinu,10,2015-06-12
470,470,full-time,43436,Skyba,10,2015-07-18
471,471,unemployed,0,N/A,0,
472,472,self-employed,71820,Freelance,,
473,473,full-time,128501,Fadeo,15,2010-10-18
474,474,full-time,81934,Skidoo,7,2018-02-26
475,475,full-time,47618,Oyoba,12,2013-03-30
476,476,full-time,134939,Yozio,9,2016-03-07
477,477,full-time,56428,Babblestorm,4,2021-05-30
478,478,part-time,18017,Cogilith,2,2023-11-06
479,479,full-time,428380,Dabvine,7,2018-07-12
480,480,full-time,68141,Zoomlounge,2,2023-05-06
481,481,unemployed,0,N/A,0,
482,482,self-employed,52402,self-employed,,
483,483,full-time,54788,Abatz,12,2013-04-16
484,484,part-time,33455,Youfeed,9,2016-01-04
485,485,full-time,68686,Photobug,15,2010-07-02
486,486,full-time,99830,Eare,12,2013-02-03
487,487,self-employed,72959,Freelance,,
488,488,self-employed,113648,Freelance,,
489,489,full-time,70510,Centizu,9,2016-06-22
490,490,full-time,242763,Centizu,9,2016-02-27
491,491,full-time,77574,JumpXS,4,2021-03-16
492,492,full-time,422245,InnoZ,15,2010-06-07
493,493,full-time,43471,Meemm,2,2022-12-26
494,494,self-employed,78907,self-employed,,
495,495,full-time,4794436,Tazzy,14,2011-06-28
496,496,full-time,208661,Riffpath,1,2024-11-17
497,497,full-time,77341,Kaymbo,15,2010-09-20
498,498,full-time,73844,Thoughtworks,15,2010-03-01
499,499,full-time,49530,Avamm,13,2012-06-17
500,500,full-time,36334,Skinte,4,2021-01-06
501,501,self-employed,75709,self-employed,,
502,502,full-time,80005,Quimba,11,2014-07-06
503,503,full-time,118999,Voolith,15,2010-11-28
504,504,part-time,13114,Rhynoodle,9,2016-09-14
505,505,full-time,81028,Latz,4,2021-11-22
506,506,full-time,134393,Realmix,2,2023-04-29
507,507,full-time,58002,Yotz,3,2022-03-09
508,508,full-time,103689,Meemm,11,2014-04-27
509,509,full-time,64427,Omba,13,2012-02-29
510,510,full-time,54414,Topicstorm,13,2012-04-29
511,511,full-time,100501,Browsedrive,3,2021-12-01
512,512,self-employed,68136,self-employed,,
513,513,self-employed,39541,self-employed,,
514,514,self-employed,98332,self-employed,,
515,515,full-time,118355,Brainsphere,10,2015-04-02
516,516,full-time,67382,Twitternation,2,2023-01-19
517,517,full-time,49952,Flashpoint,13,2012-08-23
518,518,full-time,84129,Skimia,14,2011-08-05
519,519,part-time,21052,Flashspan,5,2020-06-19
520,520,full-time,63808,Teklist,4,2021-07-28
521,521,part-time,30141,Devify,8,2017-11-10
522,522,full-time,97057,Voomm,11,2014-09-05
523,523,full-time,93344,Jetpulse,8,2017-06-19
524,524,full-time,36548,Jatri,14,2011-02-16
525,525,full-time,60775,Oodoo,3,2022-06-29
526,526,full-time,58224,Trilith,9,2016-09-26
527,527,self-employed,82561,self-employed,,
528,528,self-employed,68605,self-employed,,
529,529,unemployed,0,N/A,0,
530,530,part-time,30504,Pixoboo,14,2011-03-15
531,531,part-time,20979,Voonder,9,2016-06-19
532,532,self-employed,80245,Freelance,,
533,533,self-employed,60444,Freelance,,
534,534,full-time,110268,Ozu,15,2010-01-16
535,535,full-time,46664,Podcat,9,2015-12-31
536,536,full-time,588736,Oyonder,9,2016-08-08
537,537,full-time,58941,Twimm,4,2021-09-26
538,538,full-time,106922,Livepath,15,2010-06-09
539,539,full-time,72548,Avavee,2,2023-06-10
540,540,self-employed,132012,Freelance,,
541,541,full-time,125559,Zooxo,4,2021-10-13
542,542,self-employed,87728,Freelance,,
543,543,full-time,626145,Skinder,12,2013-11-22
544,544,full-time,83852,Jaloo,5,2020-10-16
545,545,full-time,44539,Yakidoo,5,2020-01-10
546,546,full-time,44962,Edgepulse,12,2013-10-23
547,547,full-time,40644,Trudoo,6,2019-07-04
548,548,self-employed,78330,Freelance,,
549,549,full-time,70801,Centidel,13,2012-04-24
550,550,self-employed,76399,self-employed,,
551,551,full-time,69890,Trupe,10,2014-12-01
552,552,full-time,77379,Bluejam,7,2018-10-16
553,553,unemployed,0,N/A,0,
554,554,full-time,62436,Vinder,13,2012-06-03
555,555,full-time,82806,Einti,4,2021-03-12
556,556,part-time,31766,Trudeo,13,2012-07-18
557,557,self-employed,42885,Freelance,,
558,558,full-time,42352,Fivebridge,13,2012-03-07
559,559,self-employed,55297,self-employed,,
560,560,self-employed,39615,self-employed,,
561,561,full-time,124233,Bluejam,14,2011-03-30
562,562,unemployed,0,N/A,0,
563,563,full-time,55390,Topiczoom,15,2010-11-22
564,564,full-time,76224,Flashpoint,7,2018-05-22
565,565,part-time,21844,Mynte,5,2020-03-29
566,566,self-employed,69631,self-employed,,
567,567,full-time,61937,Flipbug,10,2015-05-16
568,568,full-time,65405,Layo,13,2012-05-02
569,569,full-time,50188,Kayveo,4,2020-12-15
570,570,full-time,40365,Rhycero,9,2016-04-12
571,571,self-employed,196342,Freelance,,
