loan_id,application_id,customer_id,start_date,loan_duration_months,original_amount,interest_rate,current_status,remaining_balance
52,71,1481,2019-03-31,48,19000,12.45,Defaulted,9070.62
53,73,4098,2023-01-29,48,36400,9.41,Active,12059.6
54,74,4064,2018-11-18,24,3400,12.34,Paid Off,0.0
55,75,2658,2019-02-11,24,18400,9.18,Paid Off,0.0
56,76,2871,2021-07-02,48,9100,21.29,Paid Off,0.0
57,77,1821,2019-01-04,36,6500,7.75,Paid Off,0.0
58,78,4509,2019-11-15,48,47900,9.12,Paid Off,0.0
59,79,3550,2019-02-09,48,46900,11.35,Paid Off,0.0
60,80,1003,2019-06-09,60,35300,15.63,Paid Off,0.0
61,82,2359,2020-03-10,48,30600,17.88,Paid Off,0.0
62,83,566,2018-06-23,48,21300,9.08,Paid Off,0.0
63,84,4832,2022-01-07,12,2600,8.9,Paid Off,0.0
64,85,4604,2023-06-06,48,28000,14.78,Active,13076.96
65,86,3920,2022-03-09,12,4200,9.65,Defaulted,1799.18
66,87,1589,2023-05-07,48,16700,11.73,Active,7190.08
67,88,3074,2019-01-08,24,9500,19.57,Paid Off,0.0
68,89,192,2021-07-18,24,20100,11.48,Paid Off,0.0
69,90,2348,2022-01-23,36,12600,8.42,Paid Off,0.0
70,91,4876,2018-01-21,24,5600,8.63,Paid Off,0.0
71,92,4161,2021-01-03,48,31500,11.21,Paid Off,0.0
72,93,4017,2021-06-01,36,15900,7.87,Paid Off,0.0
73,95,2005,2019-01-09,48,75100,13.4,Paid Off,0.0
74,98,285,2019-02-20,36,24900,7.87,Defaulted,11090.97
75,99,4249,2018-12-26,12,1600,11.67,Paid Off,0.0
76,100,1616,2021-02-07,48,15100,7.63,Defaulted,6853.62
77,101,2126,2018-06-25,48,7200,9.92,Defaulted,3348.46
78,102,249,2019-03-30,48,8400,13.66,Paid Off,0.0
79,103,4159,2021-10-30,36,13300,9.41,Defaulted,5998.99
80,105,2998,2019-01-04,48,33100,11.14,Defaulted,15590.64
81,106,920,2021-02-17,48,34000,21.27,Paid Off,0.0
82,107,3313,2018-11-10,12,4100,15.48,Defaulted,1785.26
83,108,3449,2019-02-08,24,4600,8.65,Paid Off,0.0
84,109,1,2023-07-15,24,6100,14.47,Defaulted,2756.26
85,110,4719,2021-06-06,36,8300,19.11,Paid Off,0.0
86,111,3427,2021-12-09,24,4500,12.07,Paid Off,0.0
87,112,2195,2018-04-22,12,2700,12.01,Paid Off,0.0
88,113,1093,2021-08-03,24,3900,12.38,Paid Off,0.0
89,114,1662,2020-08-11,48,8800,10.21,Paid Off,0.0
90,115,589,2021-04-22,24,1600,8.01,Defaulted,697.83
91,116,1932,2020-02-29,12,2100,9.99,Paid Off,0.0
92,118,436,2019-08-19,48,15900,10.25,Paid Off,0.0
93,119,1661,2018-01-09,48,42900,8.81,Defaulted,19718.77
94,120,462,2021-04-24,48,13500,18.7,Paid Off,0.0
95,121,2523,2022-08-27,24,7500,10.69,Paid Off,0.0
96,123,4530,2018-02-28,48,24300,16.57,Defaulted,12087.17
97,125,2625,2023-05-19,48,18300,7.52,Active,7512.45
98,126,4029,2020-12-21,24,17600,9.49,Paid Off,0.0
99,127,3787,2020-01-19,48,10300,17.06,Paid Off,0.0
100,128,1963,2017-12-21,48,5300,12.64,Paid Off,0.0
101,129,2932,2023-03-03,48,24700,8.21,Active,9146.05
102,130,4268,2021-08-26,60,63900,12.36,Active,12257.75
103,131,1369,2020-05-12,48,25500,8.82,Paid Off,0.0
104,132,2189,2023-02-23,24,5700,14.49,Paid Off,0.0
105,133,2425,2021-09-28,24,1100,10.29,Paid Off,0.0
106,134,2276,2019-06-29,24,2200,17.03,Paid Off,0.0
107,135,1447,2022-11-22,24,7300,7.53,Paid Off,0.0
108,136,3488,2020-02-03,24,6400,8.59,Paid Off,0.0
109,137,1091,2020-05-27,48,10900,14.51,Defaulted,5312.9
110,138,854,2021-02-09,24,9800,7.23,Paid Off,0.0
111,139,2143,2022-05-24,48,7000,12.44,Active,1075.75
112,141,1664,2020-06-12,24,15000,17.87,Paid Off,0.0
113,142,763,2021-01-20,60,69500,16.67,Active,3359.72
114,143,2502,2021-06-23,48,11400,12.1,Paid Off,0.0
115,146,3587,2020-05-11,24,1900,20.54,Paid Off,0.0
116,147,1671,2020-12-02,60,265000,18.08,Active,6640.74
117,148,1002,2018-11-06,24,6500,9.63,Paid Off,0.0
118,149,794,2021-11-08,48,37700,9.75,Paid Off,0.0
119,150,2023,2021-04-28,24,21800,18.17,Paid Off,0.0
120,151,545,2018-10-13,12,4300,20.09,Paid Off,0.0
121,152,884,2018-05-28,60,74100,9.62,Defaulted,33948.14
122,153,3462,2022-01-21,48,5600,20.65,Late,336.01
123,155,4957,2018-07-01,24,1900,12.14,Paid Off,0.0
124,157,3810,2018-08-04,24,5000,12.27,Paid Off,0.0
125,158,2225,2020-11-09,48,6700,9.51,Paid Off,0.0
126,160,1498,2018-04-29,36,15800,14.42,Paid Off,0.0
127,161,1036,2023-05-21,36,10400,8.21,Active,1915.32
128,162,4416,2019-01-23,48,9500,8.06,Paid Off,0.0
129,164,1573,2019-12-24,24,19600,15.0,Paid Off,0.0
130,165,2562,2020-10-11,24,6600,13.73,Paid Off,0.0
131,166,4301,2021-09-28,24,5600,10.48,Paid Off,0.0
132,168,672,2022-04-05,60,79500,11.3,Active,27222.73
133,169,4526,2020-09-01,36,7700,9.7,Paid Off,0.0
134,170,685,2021-05-10,60,254500,10.6,Late,31903.31
135,171,1163,2018-08-24,24,14800,11.24,Defaulted,6571.2
136,172,99,2021-06-10,24,8100,12.58,Paid Off,0.0
137,174,167,2020-09-12,60,32400,20.11,Paid Off,0.0
138,176,3417,2022-05-02,24,5100,9.85,Paid Off,0.0
139,178,919,2020-01-23,24,7400,7.64,Paid Off,0.0
140,179,3116,2019-02-01,60,44100,11.81,Paid Off,0.0
141,180,3889,2018-06-23,48,37900,9.3,Paid Off,0.0
142,181,2591,2018-09-03,60,25800,8.24,Paid Off,0.0
143,182,766,2019-10-30,36,5700,12.51,Paid Off,0.0
144,184,2492,2019-09-09,24,6700,12.04,Paid Off,0.0
145,186,2797,2019-11-19,48,5100,17.07,Paid Off,0.0
146,188,158,2022-09-30,48,9200,16.02,Active,2426.54
147,189,2136,2022-12-02,48,5300,13.92,Active,1735.83
148,191,1461,2018-09-08,24,8100,8.69,Defaulted,3546.18
149,192,1351,2021-08-16,48,7300,8.92,Paid Off,0.0
150,193,1731,2023-04-12,48,36100,15.04,Active,15308.11
151,195,3241,2023-06-14,60,35300,12.07,Active,20856.61
152,196,3626,2019-06-16,24,13300,15.92,Paid Off,0.0
153,197,4940,2020-01-19,12,4700,8.73,Defaulted,2008.13
154,199,1851,2023-05-20,24,6000,10.01,Paid Off,0.0
155,200,1283,2022-12-06,48,24800,9.16,Active,7633.37
156,201,4731,2022-10-03,36,6600,9.3,Paid Off,0.0
157,202,1105,2020-05-04,48,48400,15.1,Paid Off,0.0
158,203,1752,2023-11-16,24,9700,7.06,Paid Off,0.0
159,204,738,2021-06-23,36,11600,17.86,Paid Off,0.0
160,205,793,2021-08-06,48,15200,8.54,Paid Off,0.0
161,208,3778,2023-10-08,36,10800,9.05,Active,3614.95
162,209,2122,2018-07-23,36,16900,7.86,Paid Off,0.0
163,210,1744,2023-06-19,60,133100,21.18,Active,85726.42
164,211,598,2021-12-26,36,9900,19.53,Paid Off,0.0
165,212,4387,2023-06-01,24,2700,16.68,Paid Off,0.0
166,213,2457,2018-09-07,48,39900,12.75,Paid Off,0.0
167,214,244,2019-11-05,12,2600,11.65,Paid Off,0.0
168,215,332,2019-03-14,48,80300,17.95,Defaulted,40478.21
169,216,1111,2023-08-08,60,33600,9.28,Active,20378.75
170,217,1983,2018-02-24,48,30800,16.27,Defaulted,15275.61
171,220,3669,2021-08-17,36,17800,9.49,Paid Off,0.0
172,221,4954,2022-04-17,24,1500,8.13,Paid Off,0.0
173,223,3786,2023-05-18,48,6300,14.77,Active,2803.62
174,224,918,2018-06-22,48,39700,18.27,Paid Off,0.0
175,226,924,2018-10-03,24,4200,11.64,Paid Off,0.0
176,227,1753,2022-09-15,72,166700,8.8,Active,89638.09
177,228,1879,2021-02-27,48,18000,7.88,Paid Off,0.0
178,229,115,2021-07-05,60,33800,19.31,Active,6575.51
179,230,3461,2022-07-28,48,10500,8.33,Active,2000.72
180,232,1094,2018-06-05,60,44300,10.87,Paid Off,0.0
181,233,883,2022-01-17,24,5200,20.96,Paid Off,0.0
182,235,1507,2021-09-29,24,17800,15.3,Paid Off,0.0
183,236,2568,2022-04-04,36,9200,10.65,Paid Off,0.0
184,237,2142,2022-10-06,48,30100,8.85,Active,7863.65
185,239,322,2022-06-15,36,6500,9.49,Paid Off,0.0
186,240,180,2019-02-22,24,21600,10.81,Paid Off,0.0
187,241,1527,2020-10-28,24,7800,11.51,Paid Off,0.0
188,242,4147,2018-06-11,48,17500,7.91,Paid Off,0.0
189,243,1338,2019-06-06,24,5400,21.31,Paid Off,0.0
190,244,689,2022-04-01,24,2000,11.28,Paid Off,0.0
191,245,1652,2020-08-12,36,5700,18.18,Paid Off,0.0
192,246,202,2021-08-03,24,22100,7.45,Paid Off,0.0
193,247,4185,2020-01-25,24,22100,7.53,Paid Off,0.0
194,248,3954,2018-04-06,60,33300,15.03,Defaulted,16344.63
195,249,1908,2022-02-02,48,20100,14.52,Active,1624.1
196,251,4874,2022-11-30,36,18900,12.0,Active,0.0
197,252,206,2021-02-04,48,23700,14.24,Paid Off,0.0
198,253,4132,2022-09-09,24,3100,9.62,Paid Off,0.0
199,254,187,2023-05-01,48,40500,8.0,Active,16718.27
200,256,1267,2023-07-13,48,48700,14.39,Active,23709.08
201,257,879,2020-08-04,24,14500,17.14,Paid Off,0.0
202,259,910,2020-04-20,36,13100,14.31,Paid Off,0.0
203,260,4164,2022-06-19,24,12600,17.57,Paid Off,0.0
204,261,1966,2020-03-17,60,47000,9.69,Paid Off,0.0
205,262,1639,2021-05-15,24,2300,12.58,Paid Off,0.0
206,263,4248,2022-04-09,24,5600,17.26,Defaulted,2568.25
207,265,564,2022-07-22,24,24300,15.47,Paid Off,0.0
208,267,2709,2022-09-27,60,35200,12.03,Active,15400.43
209,268,290,2023-10-21,36,10200,10.06,Active,3447.71
210,269,2909,2019-06-16,48,6200,9.0,Paid Off,0.0
211,270,3379,2020-12-01,48,9700,9.46,Paid Off,0.0
212,271,1939,2022-02-13,12,2300,11.23,Paid Off,0.0
213,272,2235,2022-11-20,60,44300,8.6,Active,20021.76
214,273,4873,2018-12-02,48,38900,13.06,Defaulted,18686.44
215,274,3473,2020-01-23,48,14700,9.73,Paid Off,0.0
216,276,4772,2019-09-23,36,23400,11.06,Paid Off,0.0
217,277,4643,2020-05-25,36,19800,7.93,Paid Off,0.0
218,279,3687,2023-01-14,24,7800,11.82,Paid Off,0.0
219,280,1647,2022-08-01,24,7600,11.28,Paid Off,0.0
220,281,3877,2021-05-29,60,26000,12.74,Active,3401.25
221,282,2543,2021-06-10,24,19100,13.94,Paid Off,0.0
222,283,118,2021-01-29,24,14300,18.18,Paid Off,0.0
223,284,2690,2022-01-29,24,14800,9.13,Paid Off,0.0
224,285,851,2020-01-28,36,5600,10.81,Paid Off,0.0
225,286,2545,2022-11-05,36,20000,12.39,Paid Off,0.0
226,287,1873,2023-12-15,48,49000,17.56,Active,29721.49
227,288,2230,2022-02-03,12,4900,6.96,Paid Off,0.0
228,289,4125,2019-10-16,24,16500,11.17,Paid Off,0.0
229,291,882,2021-01-18,48,56600,11.94,Paid Off,0.0
230,292,972,2022-06-10,48,5900,10.28,Active,1017.86
231,293,1946,2020-10-12,36,14000,14.18,Paid Off,0.0
232,294,3340,2023-05-21,60,87000,8.93,Active,48317.86
233,295,2835,2022-08-08,12,4900,21.22,Paid Off,0.0
234,296,4699,2023-12-06,60,36900,19.28,Active,26701.28
235,297,2766,2019-10-20,36,10300,7.83,Paid Off,0.0
236,299,2224,2021-10-17,24,5500,12.7,Paid Off,0.0
237,300,2091,2019-10-29,48,16100,13.85,Paid Off,0.0
238,301,2447,2021-04-25,36,12100,14.51,Paid Off,0.0
239,302,835,2023-04-15,48,7500,17.97,Late,3283.29
240,303,2666,2020-06-04,36,8800,10.64,Paid Off,0.0
241,304,2604,2023-05-24,24,20400,11.64,Paid Off,0.0
242,307,4574,2023-09-19,24,24300,11.96,Paid Off,0.0
243,309,414,2020-12-15,36,8100,8.99,Paid Off,0.0
244,310,2715,2022-08-09,60,30600,10.56,Active,12578.0
245,311,2200,2019-03-03,12,1600,7.92,Paid Off,0.0
246,312,1349,2020-04-24,12,4000,20.9,Paid Off,0.0
247,313,1627,2023-02-28,60,40100,10.59,Active,20668.96
248,314,767,2019-08-18,24,5100,7.19,Paid Off,0.0
249,315,4066,2021-09-06,24,1900,9.96,Paid Off,0.0
250,316,1140,2022-06-23,12,1200,12.1,Paid Off,0.0
251,317,4447,2021-07-19,24,10100,8.91,Paid Off,0.0
252,319,3690,2021-04-19,24,13600,7.56,Paid Off,0.0
253,320,2810,2018-10-27,36,16800,20.84,Paid Off,0.0
254,321,4437,2018-01-30,24,12600,21.4,Paid Off,0.0
255,323,3214,2022-01-11,48,43400,12.6,Late,2275.53
256,324,4079,2022-06-10,48,74000,9.87,Active,12684.76
257,325,3760,2019-09-02,24,12300,14.15,Paid Off,0.0
258,327,2721,2021-05-08,12,1000,12.99,Paid Off,0.0
259,328,1175,2020-01-14,24,15700,15.59,Paid Off,0.0
260,329,4852,2020-04-06,36,7900,10.62,Paid Off,0.0
261,330,363,2020-04-22,24,3100,14.33,Paid Off,0.0
262,331,1931,2018-01-07,24,24300,18.37,Defaulted,11209.73
263,332,1763,2020-06-17,48,28300,11.77,Paid Off,0.0
264,334,212,2020-08-01,60,31300,16.5,Paid Off,0.0
265,337,1626,2022-01-25,24,3500,9.95,Paid Off,0.0
266,338,4956,2022-11-18,36,9400,9.96,Paid Off,0.0
267,340,3041,2021-03-06,48,51300,8.99,Paid Off,0.0
268,341,2789,2023-12-01,24,19400,8.1,Active,872.41
269,342,2097,2020-05-29,36,7000,11.85,Defaulted,3219.79
270,343,123,2023-02-13,48,7200,11.62,Active,2616.68
271,345,997,2022-11-29,24,8800,7.1,Paid Off,0.0
272,346,2567,2021-03-03,48,13700,18.04,Paid Off,0.0
273,347,3803,2020-01-09,36,5500,9.65,Paid Off,0.0
274,348,4009,2023-05-25,24,12400,17.37,Paid Off,0.0
275,350,437,2019-02-26,36,20200,19.96,Paid Off,0.0
276,351,2501,2020-05-04,60,32100,16.96,Paid Off,0.0
277,353,4979,2023-05-10,48,23800,7.95,Active,9818.91
278,356,2704,2022-10-15,48,45100,20.14,Late,13714.22
279,358,4655,2020-12-10,12,3200,7.62,Paid Off,0.0
280,359,330,2022-08-22,24,4200,12.55,Paid Off,0.0
281,360,1476,2022-01-30,48,6900,18.94,Active,402.63
282,361,3482,2021-12-31,48,41600,9.53,Active,1037.48
283,363,2986,2021-03-11,12,4900,6.97,Paid Off,0.0
284,365,1815,2021-04-03,48,45700,21.7,Paid Off,0.0
285,366,675,2019-05-28,60,30200,12.72,Paid Off,0.0
286,367,2841,2023-06-05,24,11000,16.12,Paid Off,0.0
287,368,554,2020-04-14,24,19800,7.9,Paid Off,0.0
288,369,2106,2019-01-28,24,14800,15.92,Paid Off,0.0
289,371,4972,2023-01-24,36,21600,11.4,Active,1402.49
290,372,390,2022-05-24,60,43400,12.89,Active,16043.99
291,374,3618,2022-06-16,60,39300,13.17,Active,15318.55
292,375,536,2022-03-10,24,3800,8.77,Paid Off,0.0
293,376,3874,2018-12-13,60,26800,9.13,Paid Off,0.0
294,377,112,2018-03-07,24,23100,8.15,Paid Off,0.0
295,378,1009,2018-05-30,60,37000,17.23,Paid Off,0.0
296,380,1562,2023-06-29,12,3300,18.3,Paid Off,0.0
297,382,1814,2023-06-25,12,2800,12.19,Paid Off,0.0
298,384,3995,2018-09-29,24,13600,7.36,Paid Off,0.0
299,386,2129,2022-12-18,60,57300,17.33,Active,29917.73
300,387,4698,2020-06-05,12,4700,10.08,Paid Off,0.0
301,388,3981,2018-10-18,48,17900,15.4,Paid Off,0.0
302,389,4,2022-10-20,24,1500,9.05,Paid Off,0.0
303,391,4309,2023-03-30,36,16800,20.12,Active,2400.06
304,392,2665,2021-08-03,60,38600,8.97,Active,6944.28
305,394,3599,2023-06-16,24,1000,10.95,Paid Off,0.0
306,395,4576,2020-08-19,48,88000,15.77,Defaulted,43431.34
307,396,4749,2020-02-14,48,22500,9.95,Paid Off,0.0
308,397,3432,2022-04-27,36,18000,14.09,Paid Off,0.0
309,398,157,2020-12-25,36,10700,14.93,Paid Off,0.0
310,399,4775,2023-09-03,60,52900,16.11,Active,35015.8
311,400,1240,2020-07-29,48,18200,21.81,Paid Off,0.0
312,402,22,2020-10-11,48,9900,13.26,Defaulted,4765.31
313,404,639,2021-02-01,60,54200,20.95,Active,4245.22
314,407,176,2023-09-27,24,8400,9.8,Defaulted,3700.2
315,408,3269,2020-09-12,60,48200,19.47,Paid Off,0.0
316,410,4936,2022-09-23,24,3200,9.42,Paid Off,0.0
317,414,3897,2018-12-19,36,24400,8.1,Paid Off,0.0
318,415,3621,2019-03-04,36,20500,12.55,Paid Off,0.0
319,416,2113,2018-06-29,24,1500,9.15,Paid Off,0.0
320,417,1836,2019-02-27,24,12400,8.57,Paid Off,0.0
321,418,1203,2023-09-20,36,5600,20.47,Active,1910.78
322,419,3103,2020-12-11,48,11900,10.7,Paid Off,0.0
323,420,3980,2018-07-23,48,6600,21.97,Paid Off,0.0
324,421,3901,2022-02-05,48,8400,9.95,Active,628.09
325,422,3141,2022-02-16,24,8400,9.18,Paid Off,0.0
326,423,383,2018-07-26,48,62500,8.25,Paid Off,0.0
327,424,193,2021-05-06,48,7300,19.96,Paid Off,0.0
328,425,1642,2018-09-22,24,6500,15.81,Paid Off,0.0
329,426,2807,2021-08-09,24,17300,8.41,Paid Off,0.0
330,428,2001,2023-06-30,12,1000,13.0,Paid Off,0.0
331,429,755,2021-04-20,48,13200,11.86,Paid Off,0.0
332,431,310,2022-02-22,48,8200,13.43,Active,650.6
333,432,2601,2023-09-14,48,38400,11.38,Active,19763.95
334,433,4553,2023-10-22,48,22700,21.01,Active,13216.88
335,434,2935,2018-11-22,36,9100,9.97,Defaulted,4123.2
336,435,3948,2022-10-16,48,41600,14.99,Late,11828.17
337,436,1068,2023-08-20,36,17800,14.25,Active,5182.19
338,437,3965,2020-05-22,24,3100,21.49,Paid Off,0.0
339,441,3572,2018-12-29,12,4600,13.62,Paid Off,0.0
340,442,2253,2020-09-20,24,23200,14.46,Paid Off,0.0
341,443,3956,2020-02-17,60,30300,22.03,Paid Off,0.0
342,444,2262,2021-07-23,12,1900,9.27,Paid Off,0.0
343,445,4292,2019-08-03,60,26300,21.99,Defaulted,14000.05
344,446,4784,2021-03-13,36,9600,16.72,Defaulted,4586.24
345,447,3758,2021-03-03,12,3800,19.01,Paid Off,0.0
346,448,1385,2019-10-20,48,45700,10.66,Paid Off,0.0
347,449,2190,2018-03-11,48,23100,18.78,Paid Off,0.0
348,450,4635,2019-10-01,24,4100,18.31,Paid Off,0.0
349,451,126,2020-10-19,24,5900,12.21,Paid Off,0.0
350,453,2628,2022-06-24,24,5400,19.39,Paid Off,0.0
351,454,2232,2021-05-12,48,63700,9.33,Paid Off,0.0
352,455,292,2020-04-02,36,8100,15.02,Paid Off,0.0
353,456,2620,2020-06-07,60,67000,13.57,Paid Off,0.0
354,457,2783,2018-04-20,24,6200,8.33,Defaulted,2708.93
355,459,3968,2023-04-18,48,7100,10.77,Active,2868.84
356,461,888,2023-02-10,36,21600,9.67,Active,2047.8
357,462,1316,2023-09-09,48,6200,20.04,Active,3452.26
358,463,1577,2018-04-28,48,19300,7.85,Defaulted,8780.66
359,464,2012,2023-11-11,36,7100,11.92,Late,2652.26
360,465,299,2019-06-11,24,13600,7.91,Paid Off,0.0
361,467,1773,2022-09-27,24,11100,7.66,Paid Off,0.0
362,468,1548,2020-08-14,24,18800,8.68,Paid Off,0.0
363,474,933,2018-04-07,60,76900,16.06,Paid Off,0.0
364,475,644,2021-08-03,36,6100,7.52,Paid Off,0.0
365,476,422,2018-02-08,24,11800,11.36,Defaulted,5242.64
366,477,3119,2022-01-30,48,21900,21.15,Active,1324.71
367,478,1863,2020-06-13,12,1800,17.6,Paid Off,0.0
368,479,1420,2023-03-03,24,17700,10.41,Paid Off,0.0
369,480,2413,2021-11-07,24,21500,7.11,Paid Off,0.0
370,483,4935,2018-11-22,60,29600,13.41,Paid Off,0.0
371,484,4742,2019-08-31,12,4300,12.61,Paid Off,0.0
372,485,3620,2018-06-20,60,37900,10.12,Paid Off,0.0
373,487,4420,2022-09-08,24,8700,10.76,Paid Off,0.0
374,489,3349,2021-04-19,48,88700,20.85,Paid Off,0.0
375,491,2192,2020-04-26,36,18600,17.91,Defaulted,8966.37
376,492,3564,2023-08-26,24,4600,9.6,Paid Off,0.0
377,494,3697,2023-09-28,12,3200,15.7,Paid Off,0.0
378,495,4472,2021-01-05,48,19500,12.99,Paid Off,0.0
379,496,3414,2019-09-02,48,15400,21.02,Paid Off,0.0
380,497,4415,2022-04-05,36,8800,8.25,Paid Off,0.0
381,498,4423,2019-08-20,36,5300,12.6,Paid Off,0.0
382,499,3759,2019-12-14,36,17200,8.91,Paid Off,0.0
383,500,148,2022-07-19,36,7000,9.68,Paid Off,0.0
384,501,4503,2021-06-01,36,7500,14.19,Paid Off,0.0
385,502,1541,2020-08-01,24,19900,13.55,Paid Off,0.0
386,503,703,2020-05-11,48,17200,14.07,Paid Off,0.0
387,504,1305,2018-05-04,24,8500,14.79,Paid Off,0.0
388,505,3082,2018-12-18,36,5800,7.26,Paid Off,0.0
389,507,4704,2020-01-19,48,11800,9.97,Paid Off,0.0
390,509,19,2022-02-12,48,14500,10.33,Active,1091.34
391,510,1388,2019-05-14,48,72300,7.54,Paid Off,0.0
392,512,838,2019-05-04,60,28000,18.14,Paid Off,0.0
393,513,868,2021-11-30,36,16600,7.38,Paid Off,0.0
394,516,4668,2023-06-19,48,31700,7.78,Active,13734.1
395,517,3702,2018-10-09,36,16300,19.53,Paid Off,0.0
396,519,2309,2023-08-02,60,31000,16.77,Active,20156.06
397,520,533,2023-08-21,24,5200,11.93,Paid Off,0.0
398,522,1625,2019-02-28,36,9800,11.31,Paid Off,0.0
399,524,4620,2023-05-23,24,12800,12.11,Paid Off,0.0
400,525,4434,2023-12-03,48,24200,8.57,Active,13630.72
401,526,2577,2020-09-22,36,5200,12.48,Paid Off,0.0
402,527,955,2018-08-22,60,45100,15.47,Paid Off,0.0
403,529,4021,2021-07-09,24,1900,10.33,Paid Off,0.0
404,530,1033,2020-09-30,48,35500,9.28,Paid Off,0.0
405,531,2052,2019-10-29,36,24900,11.34,Paid Off,0.0
406,532,4279,2021-07-27,24,8300,8.08,Paid Off,0.0
407,533,4036,2022-08-17,48,5900,20.53,Active,1499.7
408,535,1256,2023-03-30,12,3000,11.41,Paid Off,0.0
409,536,2670,2020-04-17,60,37800,21.13,Paid Off,0.0
410,537,1992,2023-09-30,36,8700,15.74,Active,2838.71
411,538,1173,2021-11-15,60,77600,8.82,Active,18360.01
412,539,3412,2020-06-15,48,29800,21.54,Paid Off,0.0
413,541,4497,2021-04-17,48,15800,7.67,Paid Off,0.0
414,542,3095,2023-01-12,48,31900,16.32,Active,11520.61
415,543,4595,2021-07-29,60,36100,9.78,Active,5886.98
416,544,2506,2019-04-04,36,10700,12.62,Paid Off,0.0
417,545,828,2022-07-13,48,5500,7.81,Active,1039.57
418,547,3553,2018-01-20,60,59000,10.1,Paid Off,0.0
419,549,1081,2021-07-24,12,4200,6.88,Paid Off,0.0
420,551,2524,2023-08-13,48,7800,15.52,Active,4007.45
421,552,3275,2023-09-30,36,18300,7.64,Active,5509.45
422,553,485,2023-03-27,36,10600,10.8,Active,1353.52
423,554,3302,2020-08-04,48,50300,19.63,Paid Off,0.0
424,555,1417,2020-10-08,36,8500,12.29,Defaulted,3923.41
425,556,3337,2023-06-14,48,26300,9.03,Active,11553.25
426,557,4671,2023-07-08,36,20600,8.77,Active,5055.3
427,558,4510,2020-09-10,48,30500,10.8,Paid Off,0.0
428,559,4949,2020-05-09,24,5100,11.79,Defaulted,2271.22
429,560,4410,2020-04-02,24,1300,9.52,Paid Off,0.0
